"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,위도,경도,데이터기준일자
"경기도 수원시",,경기도 수원시 장안구 율전동 288-73,생활방범,4,200,360도전방면,30,2016-12,031-228-3308,37.2990097,126.9726777,2021-02-08
"경기도 수원시",경기도 수원시 장안구 서부로2105번길 23,경기도 수원시 장안구 율전동 408-9,생활방범,5,200,360도전방면,30,2016-12,031-228-3308,37.2963146,126.9689006,2021-02-08
"경기도 수원시",,경기도 수원시 권선구 고색동 7-106,생활방범,4,200,360도전방면,30,2016-12,031-228-3308,37.2537087,126.9861206,2021-02-08
"경기도 수원시",경기도 수원시 권선구 구운로45번길 59-46,경기도 수원시 권선구 구운동 524,생활방범,4,200,360도전방면,30,2016-12,031-228-3308,37.2762949,126.9729574,2021-02-08
"경기도 수원시",경기도 수원시 권선구 금곡로 126,,생활방범,4,200,360도전방면,30,2016-12,031-228-3308,37.27332016,126.9447039,2021-02-08
"경기도 수원시",,경기도 수원시 권선구 세류3동 156-29,생활방범,5,200,360도전방면,30,2016-12,031-228-3308,37.259656,127.0153609,2021-02-08
"경기도 수원시",경기도 수원시 권선구 오목천로27번길 14,경기도 수원시 권선구 오목천동 447-15,생활방범,5,200,360도전방면,30,2016-12,031-228-3308,37.2407652,126.9655671,2021-02-08
"경기도 수원시",경기도 수원시 권선구 탑동로 50,경기도 수원시 권선구 탑동 766-6,생활방범,5,200,360도전방면,30,2016-12,031-228-3308,37.2732407,126.9742552,2021-02-08
"경기도 수원시",경기도 수원시 팔달구 고화로72번길 11,경기도 수원시 팔달구 고등동 14-22,생활방범,5,200,360도전방면,30,2016-12,031-228-3308,37.2756769,127.0070312,2021-02-08
"경기도 수원시",경기도 수원시 팔달구 고화로71번길31,경기도 수원시 팔달구 고등동 51-1,생활방범,4,200,360도전방면,30,2016-12,031-228-3308,37.2755148,127.0044266,2021-02-08
"경기도 수원시",경기도 수원시 팔달구 고화로31번길 13,경기도 수원시 팔달구 고등동 71-28,생활방범,5,200,360도전방면,30,2016-12,031-228-3308,37.2719016,127.0060839,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매여울로10번길 45,,생활방범,2,200,360도전방면,30,2016-07,031-228-3308,37.2713172,127.0459731,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매여울로10번길 33,,생활방범,1,200,360도전방면,30,2016-07,031-228-3308,37.2711007,127.0466945,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매여울로10번길 13,,생활방범,1,200,360도전방면,30,2016-07,031-228-3308,37.270821,127.0476414,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매탄로79번길 21-12,,생활방범,2,200,360도전방면,30,2016-07,031-228-3308,37.2575153,127.0403854,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매탄로79번길 27-2,,생활방범,1,200,360도전방면,30,2016-07,031-228-3308,37.2584343,127.0404986,2021-02-08
"경기도 수원시",경기도 수원시 권선구 구운로 17-6,경기도 수원시 권선구 구운동 512-8,생활방범,1,200,360도전방면,30,2016-07,031-228-3308,37.2764849,126.9760355,2021-02-08
"경기도 수원시",경기도 수원시 권선구 구운중로22번길 42,경기도 수원시 권선구 구운동 513-6,생활방범,1,200,360도전방면,30,2016-07,031-228-3308,37.2762957,126.9760919,2021-02-08
"경기도 수원시",경기도 수원시 권선구 구운중로22번길 27,경기도 수원시 권선구 구운동 512-13,생활방범,1,200,360도전방면,30,2016-07,031-228-3308,37.2764576,126.9752349,2021-02-08
"경기도 수원시",경기도 수원시 권선구 서둔로239번길 29-1,경기도 수원시 권선구 탑동 25-14,생활방범,1,200,360도전방면,30,2016-07,031-228-3308,37.2725116,126.9773448,2021-02-08
"경기도 수원시",경기도 수원시 권선구 상탑로53번길 10-11,경기도 수원시 권선구 탑동 25-22,생활방범,1,200,360도전방면,30,2016-07,031-228-3308,37.2721242,126.9774238,2021-02-08
"경기도 수원시",경기도 수원시 권선구 상탑로53번길 10-9,경기도 수원시 권선구 탑동 25-12,생활방범,1,200,360도전방면,30,2016-07,031-228-3308,37.2720971,126.9772885,2021-02-08
"경기도 수원시",경기도 수원시 권선구 서둔로239번길 23-5,경기도 수원시 권선구 탑동 25-26,생활방범,2,200,360도전방면,30,2016-07,031-228-3308,37.2724306,126.9776492,2021-02-08
"경기도 수원시",경기도 수원시 권선구 서둔로239번길 23-11,경기도 수원시 권선구 탑동 25-32,생활방범,1,200,360도전방면,30,2016-07,031-228-3308,37.2721783,126.9777057,2021-02-08
"경기도 수원시",경기도 수원시 권선구 권중로120번길 17,,어린이보호,4,200,360도전방면,30,2016-03,031-228-3308,37.2479581,127.030248,2021-02-08
"경기도 수원시",경기도 수원시 권선구 세권로316번길 4,경기도 수원시 권선구 권선동 1286-8,어린이보호,5,200,360도전방면,30,2016-03,031-228-3308,37.2515422,127.0379478,2021-02-08
"경기도 수원시",경기도 수원시 영통구 봉영로 1432-19,경기도 수원시 영통구 망포동 709-1,어린이보호,3,200,360도전방면,30,2016-03,031-228-3308,37.241296,127.0639204,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매영로 103,,어린이보호,4,200,360도전방면,30,2016-03,031-228-3308,37.2680975,127.0535587,2021-02-08
"경기도 수원시",경기도 수원시 영통구 봉영로 1744번길 41,경기도 수원시 영통구 영통동 1053-6,어린이보호,3,200,360도전방면,30,2016-03,031-228-3308,37.2652145,127.0851341,2021-02-08
"경기도 수원시",,경기도 수원시 영통구 영통동 1091,어린이보호,4,200,360도전방면,30,2016-03,031-228-3308,37.2655205,127.0856305,2021-02-08
"경기도 수원시",경기도 수원시 영통구 영통로 515,,어린이보호,5,200,360도전방면,30,2016-03,031-228-3308,37.2647151,127.0773548,2021-02-08
"경기도 수원시",경기도 수원시 영통구 봉영로1517번길 40,경기도 수원시 영통구 영통동 967-4,어린이보호,5,200,360도전방면,30,2016-03,031-228-3308,37.2496563,127.0663054,2021-02-08
"경기도 수원시",경기도 수원시 장안구 대평로51번길 65,,어린이보호,5,200,360도전방면,30,2016-03,031-228-3308,37.290372,126.9898115,2021-02-08
"경기도 수원시",경기도 수원시 장안구 대평로51번길 65,,어린이보호,5,200,360도전방면,30,2016-03,031-228-3308,37.2923996,126.9922809,2021-02-08
"경기도 수원시",경기도 수원시 장안구 만석로68번길 46,,어린이보호,5,200,360도전방면,30,2016-03,031-228-3308,37.2954267,126.9892805,2021-02-08
"경기도 수원시",경기도 수원시 장안구 만석로68번길 46,,어린이보호,5,200,360도전방면,30,2016-03,031-228-3308,37.2954267,126.9892805,2021-02-08
"경기도 수원시",경기도 수원시 장안구 장안로 191,,어린이보호,4,200,360도전방면,30,2016-03,031-228-3308,37.3003739,126.9961485,2021-02-08
"경기도 수원시",경기도 수원시 장안구 정자로42번길 17,경기도 수원시 장안구 천천동 512,어린이보호,4,200,360도전방면,30,2016-03,031-228-3308,37.3002642,126.9825575,2021-02-08
"경기도 수원시",경기도 수원시 장안구 정자로42번길 17,경기도 수원시 장안구 천천동 512,어린이보호,5,200,360도전방면,30,2016-03,031-228-3308,37.3002642,126.9825575,2021-02-08
"경기도 수원시",경기도 수원시 장안구 정자로 22,경기도 수원시 장안구 천천동 502-1,어린이보호,5,200,360도전방면,30,2016-03,031-228-3308,37.3000113,126.9793431,2021-02-08
"경기도 수원시",경기도 수원시 장안구 정자로19번길 13,경기도 수원시 장안구 천천동 570,어린이보호,5,200,360도전방면,30,2016-03,031-228-3308,37.3006508,126.9782263,2021-02-08
"경기도 수원시",경기도 수원시 장안구 경수대로1081번길 32-9,경기도 수원시 장안구 파장동 618,어린이보호,5,200,360도전방면,30,2016-03,031-228-3308,37.3093748,126.9919176,2021-02-08
"경기도 수원시",경기도 수원시 장안구 수일로 92,경기도 수원시 장안구 파장동 414-7,어린이보호,4,200,360도전방면,30,2016-03,031-228-3308,37.3097357,127.000671,2021-02-08
"경기도 수원시",경기도 수원시 팔달구 정자천로32번길 55,,어린이보호,4,200,360도전방면,30,2016-03,031-228-3308,37.286154,126.9817832,2021-02-08
"경기도 수원시",경기도 수원시 권선구 금호로 39,경기도 수원시 권선구 금곡동 242-34,어린이보호,4,200,360도전방면,30,2016-03,031-228-3308,37.2689551,126.9561167,2021-02-08
"경기도 수원시",경기도 수원시 권선구 금호로15번길 2-9,경기도 수원시 권선구 금곡동 245-32,어린이보호,4,200,360도전방면,30,2016-03,031-228-3308,37.2688461,126.9540987,2021-02-08
"경기도 수원시",경기도 수원시 권선구 금곡로31번길 92,경기도 수원시 권선구 금곡동 699,어린이보호,4,200,360도전방면,30,2016-03,031-228-3308,37.2727925,126.9353688,2021-02-08
"경기도 수원시",,경기도 수원시 권선구 금곡동 799-11,어린이보호,4,200,360도전방면,30,2016-03,031-228-3308,37.2717653,126.9353698,2021-02-08
"경기도 수원시",경기도 수원시 권선구 서수원로 220,경기도 수원시 권선구 오목천동 278,어린이보호,4,200,360도전방면,30,2016-03,031-228-3308,37.2463795,126.9684271,2021-02-08
"경기도 수원시",,경기도 수원시 팔달구 화서동 436-1,재난재해,1,200,360도전방면,30,2013-01,031-228-3308,37.2780729,126.9887311,2021-02-08
"경기도 수원시",,경기도 수원시 권선구 서둔동 104-4,재난재해,1,200,360도전방면,30,2013-01,031-228-3308,37.2679272,126.9882595,2021-02-08
"경기도 수원시",,경기도 수원시 권선구 고색동 179-8,재난재해,1,130,360도전방면,30,2013-01,031-228-3308,37.2562683,126.9918126,2021-02-08
"경기도 수원시",,경기도 수원시 권선구 고색동 190,재난재해,1,200,360도전방면,30,2013-01,031-228-3308,37.2546286,126.9942025,2021-02-08
"경기도 수원시",,경기도 수원시 권선구 평동 21-114,재난재해,1,130,360도전방면,30,2013-01,031-228-3308,37.2582689,126.9954533,2021-02-08
"경기도 수원시",,경기도 수원시 권선구 당수동 10,재난재해,1,200,360도전방면,30,2017-06,031-228-3308,37.300342,126.945123,2021-02-08
"경기도 수원시",,경기도 수원시 권선구 구운동 905-2,재난재해,1,200,360도전방면,30,2016-06,031-228-3308,37.2843772,126.9733376,2021-02-08
"경기도 수원시",,경기도 수원시 권선구 금곡동 808-2,재난재해,1,130,360도전방면,30,2013-01,031-228-3308,37.2734623,126.9618415,2021-02-08
"경기도 수원시",,경기도 수원시 권선구 호매실동 269-1,재난재해,1,200,360도전방면,30,2016-06,031-228-3308,37.2583806,126.9665053,2021-02-08
"경기도 수원시",,경기도 수원시 권선구 오목천동 164-13,재난재해,1,130,360도전방면,30,2013-01,031-228-3308,37.2474066,126.9682914,2021-02-08
"경기도 수원시",경기도 수원시 권선구 매송고색로804번길 451,경기도 수원시 권선구 고색동 616,재난재해,1,130,360도전방면,30,2013-01,031-228-3308,37.234463,126.988728,2021-02-08
"경기도 수원시",경기도 수원시 장안구 광교산로 541,경기도 수원시 장안구 상광교동 100,재난재해,1,200,360도전방면,30,2013-01,031-228-3308,37.3304226,127.0146956,2021-02-08
"경기도 수원시",,경기도 수원시 권선구 호매실동 603-5,재난재해,1,200,360도전방면,30,2013-01,031-228-3308,37.2661498,126.9487905,2021-02-08
"경기도 수원시",,경기도 수원시 권선구 당수동 440,재난재해,1,200,360도전방면,30,2013-01,031-228-3308,37.2841479,126.9398467,2021-02-08
"경기도 수원시",,경기도 수원시 권선구 권선동 1344-3,재난재해,1,130,360도전방면,30,2015-02,031-228-3308,37.2380217,127.0195271,2021-02-08
"경기도 수원시",경기도 수원시 권선구 정조로514번길 15,,생활방범,5,200,360도전방면,30,2017-05,031-228-3308,37.2551602,127.0122829,2021-02-08
"경기도 수원시",경기도 수원시 권선구 세지로42번길 31-2,,생활방범,5,200,360도전방면,30,2017-05,031-228-3308,37.2554028,127.0181444,2021-02-08
"경기도 수원시",경기도 수원시 영통구 영통로90번길 48,경기도 수원시 영통구 망포동 523,생활방범,7,200,360도전방면,30,2017-05,031-228-3308,37.2391629,127.059084,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매여울로40번길 2,,생활방범,4,200,360도전방면,30,2016-12,031-228-3308,37.2715697,127.0454208,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매영로415번길 38,경기도 수원시 영통구 영통동 1019-1,생활방범,5,200,360도전방면,30,2017-05,031-228-3308,37.2491268,127.0781059,2021-02-08
"경기도 수원시",경기도 수원시 팔달구 세지로 236,경기도 수원시 팔달구 인계동 819-2,생활방범,5,200,360도전방면,30,2017-05,031-228-3308,37.2723232,127.0242023,2021-02-08
"경기도 수원시",경기도 수원시 팔달구 효원로193번길 35,경기도 수원시 팔달구 인계동 999-15,생활방범,5,200,360도전방면,30,2017-05,031-228-3308,37.2654575,127.0235014,2021-02-08
"경기도 수원시",경기도 수원시 장안구 연무로32번길 28,경기도 수원시 장안구 연무동 219-7,생활방범,5,200,360도전방면,30,2017-05,031-228-3308,37.2954247,127.0286975,2021-02-08
"경기도 수원시",경기도 수원시 장안구 정조로934번길 90-13,경기도 수원시 장안구 영화동 102-36,생활방범,5,200,360도전방면,30,2017-05,031-228-3308,37.2924262,127.0171707,2021-02-08
"경기도 수원시",경기도 수원시 장안구 장안로29번길 20,경기도 수원시 장안구 영화동 423-8,생활방범,4,200,360도전방면,30,2017-05,031-228-3308,37.2870659,127.0044494,2021-02-08
"경기도 수원시",경기도 수원시 장안구 대평로162번길 33,,생활방범,5,200,360도전방면,30,2017-05,031-228-3308,37.3024819,126.991005,2021-02-08
"경기도 수원시",경기도 수원시 장안구 금당로 56,,생활방범,4,200,360도전방면,30,2017-05,031-228-3308,37.3017609,127.0164732,2021-02-08
"경기도 수원시",경기도 수원시 장안구 파장천로26번길 54,경기도 수원시 장안구 파장동 597-18,생활방범,4,200,360도전방면,30,2017-05,031-228-3308,37.3063478,126.9974225,2021-02-08
"경기도 수원시",경기도 수원시 장안구 파장로22번길 30,경기도 수원시 장안구 파장동 603-7,생활방범,5,200,360도전방면,30,2017-05,031-228-3308,37.3053207,126.9994755,2021-02-08
"경기도 수원시",경기도 수원시 팔달구 월드컵로211번길 24,,생활방범,3,200,360도전방면,30,2017-05,031-228-3308,37.2791214,127.0422227,2021-02-08
"경기도 수원시",경기도 수원시 권선구 고색로18번길 22,경기도 수원시 권선구 고색동 397-26,생활방범,5,200,360도전방면,30,2017-05,031-228-3308,37.2481031,126.9794269,2021-02-08
"경기도 수원시",,경기도 수원시 권선구 금곡동 1155,생활방범,3,200,360도전방면,30,2017-05,031-228-3308,37.2716496,126.9379517,2021-02-08
"경기도 수원시",경기도 수원시 권선구 효원로148번길 26,,생활방범,6,200,360도전방면,30,2017-05,031-228-3308,37.2638726,127.0173119,2021-02-08
"경기도 수원시",경기도 수원시 권선구 세권로34번길 2,,생활방범,5,200,360도전방면,30,2017-05,031-228-3308,37.2593773,127.0079772,2021-02-08
"경기도 수원시",경기도 수원시 권선구 탑동로36번길 11,경기도 수원시 권선구 탑동 790-9,생활방범,5,200,360도전방면,30,2017-05,031-228-3308,37.2722948,126.975011,2021-02-08
"경기도 수원시",경기도 수원시 권선구 평동로76번길 2,경기도 수원시 권선구 평동 37-1,생활방범,4,200,360도전방면,30,2017-05,031-228-3308,37.2578182,126.9933905,2021-02-08
"경기도 수원시",경기도 수원시 권선구 정조로543번길 18,,생활방범,5,200,360도전방면,30,2017-05,031-228-3308,37.2580976,127.0106712,2021-02-08
"경기도 수원시",경기도 수원시 권선구 장다리로 37,,생활방범,5,200,360도전방면,30,2017-05,031-228-3308,37.2540152,127.0185612,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매여울로40번길 32,,생활방범,5,200,360도전방면,30,2016-12,031-228-3308,37.2722088,127.0469432,2021-02-08
"경기도 수원시",경기도 수원시 영통구 권선로820번길 43,,생활방범,6,200,360도전방면,30,2017-05,031-228-3308,37.2555429,127.0377242,2021-02-08
"경기도 수원시",,경기도 수원시 영통구 매탄동 916-1,생활방범,3,200,360도전방면,30,2017-05,031-228-3308,37.2672904,127.0437498,2021-02-08
"경기도 수원시",,경기도 수원시 영통구 원천동 29-78,생활방범,5,200,360도전방면,30,2017-05,031-228-3308,37.2782105,127.0445563,2021-02-08
"경기도 수원시",경기도 수원시 장안구 수원천로472번길 13,경기도 수원시 장안구 연무동 251-6,생활방범,4,200,360도전방면,30,2017-05,031-228-3308,37.2935154,127.0242534,2021-02-08
"경기도 수원시",,경기도 수원시 장안구 정자동 383,생활방범,4,200,360도전방면,30,2009-12,031-228-3308,37.3017072,126.9933398,2021-02-08
"경기도 수원시",경기도 수원시 장안구 하률로11번길 10,경기도 수원시 장안구 천천동 549-15,생활방범,5,200,360도전방면,30,2017-05,031-228-3308,37.3033982,126.9747514,2021-02-08
"경기도 수원시",,경기도 수원시 팔달구 남수동 11-847,생활방범,4,200,360도전방면,30,2017-05,031-228-3308,37.2851219,127.0226948,2021-02-08
"경기도 수원시",경기도 수원시 팔달구 월드컵로321번길 17,,생활방범,5,200,360도전방면,30,2017-05,031-228-3308,37.2861251,127.0330246,2021-02-08
"경기도 수원시",경기도 수원시 팔달구 정조로777번길 9,경기도 수원시 팔달구 팔달로3가 102-3,생활방범,6,200,360도전방면,30,2017-05,031-228-3308,37.2773162,127.0156457,2021-02-08
"경기도 수원시",경기도 수원시 권선구 고색로54번길 65,경기도 수원시 권선구 고색동 299-11,생활방범,5,200,360도전방면,30,2017-05,031-228-3308,37.2474102,126.9839467,2021-02-08
"경기도 수원시",경기도 수원시 권선구 구운로 46-1,경기도 수원시 권선구 구운동 493-16,생활방범,5,200,360도전방면,30,2017-05,031-228-3308,37.2778718,126.9733965,2021-02-08
"경기도 수원시",,경기도 수원시 권선구 당수동 282-18,생활방범,4,200,360도전방면,30,2017-05,031-228-3308,37.2926796,126.9380916,2021-02-08
"경기도 수원시",,경기도 수원시 권선구 탑동 540-376,생활방범,4,200,360도전방면,30,2017-05,031-228-3308,37.2652411,126.9813155,2021-02-08
"경기도 수원시",경기도 수원시 팔달구 고매로 24,경기도 수원시 팔달구 고등동 66-18,생활방범,4,200,360도전방면,30,2017-05,031-228-3308,37.2715412,127.0053398,2021-02-08
"경기도 수원시",,경기도 수원시 팔달구 매산로1가 57-126,생활방범,4,200,360도전방면,30,2017-05,031-228-3308,37.265207,127.0024761,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매영로35번길 21-22,,생활방범,2,200,360도전방면,30,2016-07,031-228-3308,37.2707135,127.0459372,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매영로35번길 21-1,,생활방범,1,200,360도전방면,30,2016-07,031-228-3308,37.2702356,127.0468857,2021-02-08
"경기도 수원시",,경기도 수원시 영통구 매탄동 198-43,생활방범,1,200,360도전방면,30,2016-07,031-228-3308,37.270236,127.0457244,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매영로35번길 15,,생활방범,1,200,360도전방면,30,2016-07,031-228-3308,37.2701005,127.0468293,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매영로35번길 5,,생활방범,1,200,360도전방면,30,2016-07,031-228-3308,37.269623,127.0466148,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매영로35번길 7-21,,생활방범,2,200,360도전방면,30,2016-07,031-228-3308,37.2699568,127.0455326,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매탄로51번길 6,,생활방범,1,200,360도전방면,30,2016-07,031-228-3308,37.2559025,127.0401929,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매탄로51번길 8-16,,생활방범,1,200,360도전방면,30,2016-07,031-228-3308,37.2565422,127.0404187,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매탄로160번길 7-6,,생활방범,1,200,360도전방면,30,2016-07,031-228-3308,37.2646857,127.0457213,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매탄로160번길 19,경기도 수원시 영통구 매탄동 833-27,생활방범,2,200,360도전방면,30,2016-07,031-228-3308,37.2644062,127.0461946,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매탄로160번길 26,,생활방범,1,200,360도전방면,30,2016-07,031-228-3308,37.2641268,127.0464425,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매탄로160번길 36,,생활방범,1,200,360도전방면,30,2016-07,031-228-3308,37.26454838,127.0468598,2021-02-08
"경기도 수원시",경기도 수원시 영통구 매탄로160번길 40,경기도 수원시 영통구 매탄동 840,생활방범,1,200,360도전방면,30,2016-07,031-228-3308,37.2647123,127.0469727,2021-02-08
"경기도 수원시",경기도 수원시 권선구 덕영대로1106번길 53-13,,생활방범,1,200,360도전방면,30,2016-07,031-228-3308,37.2511325,127.0130375,2021-02-08
"경기도 수원시",경기도 수원시 권선구 덕영대로1106번길 51,,생활방범,1,200,360도전방면,30,2016-07,031-228-3308,37.250709,127.0128121,2021-02-08
"경기도 수원시",경기도 수원시 권선구 정조로482번길 42,,생활방범,2,200,360도전방면,30,2016-07,031-228-3308,37.2515469,127.0134547,2021-02-08
"경기도 수원시",경기도 수원시 권선구 덕영대로1126번길 26-6,,생활방범,2,200,360도전방면,30,2016-07,031-228-3308,37.2510964,127.0134208,2021-02-08
"경기도 수원시",경기도 수원시 장안구 정조로1110번길 6-10,경기도 수원시 장안구 송죽동 448-16,생활방범,2,200,360도전방면,30,2016-07,031-228-3308,37.3034556,127.0016412,2021-02-08
