순번,용어,용어설명
46,전기장 세기," 특정한 지점에서 흔히 <IMG src='http://www.emf.or.kr/dic/images/dictionary/PIC13F.gif' width=16px height=16px > 로 표기되는 벡터장으로서, 자기장이 없는 곳에서는 그곳에 놓인 운동하지 않는 양의 단위 시험전하에 작용하는 힘과 수치적으로 같다. 주 : 자기장이 없는 경우, 힘 <IMG src='http://www.emf.or.kr/dic/images/dictionary/PIC140.gif' width=16px height=16px > 는 <IMG src='http://www.emf.or.kr/dic/images/dictionary/PIC141.gif' width=48px height=16px > 로 주어지며, 전기장 성분의 크기는 V/m의 단위로 표현된다. 차원은 Newton/Coulomb 과 동일하다.<br> A vector field, often denoted as <IMG src='http://www.emf.or.kr/dic/images/dictionary/PIC142.gif' width=16px height=16px > at a specific point. In a zero magnetic field, it is numerically equal to the force on a motionless unit positive test charge placed at that point.  Note : In a zero magnetic field, the force <IMG src='http://www.emf.or.kr/dic/images/dictionary/PIC143.gif' width=16px height=16px > is given by <IMG src='http://www.emf.or.kr/dic/images/dictionary/PIC144.gif' width=48px height=16px >. . The magnitude of the field components are expressed in volts per meter (V/m) (which dimensionally is the same as Newton/Coulomb). IEEE Std. 100-1996"
47,전자파(電磁波) 스펙트럼," 1. 전자파 복사의 스펙트럼으로서 0.006 nm 보다 짧은 파장을 가지는 감마선, 0.006 nm - 5 nm 범위의 X선, 5 nm - 0.4 μm 범위의 자외선, 0.4 μm - 0.7 μm 범위의 가시 광선, 0.7 μm - 0.1 mm 범위의 적외선, 0.1 mm 보다 긴 파장을 갖는 전파로 이루어진다. <br> 2. 0 Hz에서 무한대 Hz 까지 전자파복사 주파수 범위. 주 : 전자파 스펙트럼은 과거에 관례상 26 개의 알파벳으로 지정된 대역으로 나뉘어 있었다. 이러한 사용법은 아직 어느 정도 유효하지만, ITU 에서는 30 Hz부터 3000 GHz 까지 12 개 대역을 인가하였다.  <br> ☞ radio spectrum<br> 1. The spectrum of electromagnetic radiation, consisting of : gamma rays, wavelengths shorter than 0.006 nm; X rays, 0.006  to 5 nm; ultraviolet  rays, 5 nm to 0.4 m; visible light, 0.4 to 0.7 m; infrared, 0.7 m to 0.1 mm; radio, greater than 0.1 mm. See also : radio spectrum. IEEE Std. 100-1996<br> 2. The range of frequencies of electromagnetic radiation from zero to infinity. Note: The electromagnetic spectrum was, by custom and practice, formerly divided into 26 alphabetically designated bands. This usage still prevails to some degree. However, the ITU formally recognizes 12 bands, from 30 Hz to 3000 GHz. <br><a href=""javascript:window.open('http://www.its.bldrdoc.gov/fs-1037/','LINK','scrollbars=yes,resizables=yes,menubar=yes,width=600,height=480,top=100,left=200');"">http://www.its.bldrdoc.gov/fs-1037/</a>"
48,전자파(電磁波) 에너지," 전파, 적외선, 가시광선, 자외선, X선 및 기타의 전자파 복사에 의해 전달, 전파되는 에너지."
49,"전자파(電磁波), 전자기파(電磁氣波)"," 1. 전기장과 자기장이 시간적, 공간적으로 변화하는 파동. 전자파는 주파수에 따라 전파, 적외선, 가시광선 등으로 알려져 있다. <br> 2. 시변 전기장과 자기장의 상호작용으로 생성된 파동.<br> 1. Waves characterized by temporal and spatial variations of electric and magnetic fields. Electromagnetic waves are known as radio waves, infrared waves, light waves, etc, depending on the frequency. IEEE Std. 100-1996<br> 2. A wave produced by the interaction of time-varying electric and magnetic fields.<br><a href=""javascript:window.open('http://www.its.bldrdoc.gov/fs-1037/','LINK','scrollbars=yes,resizables=yes,menubar=yes,width=600,height=480,top=100,left=200');"">http://www.its.bldrdoc.gov/fs-1037/</a>"
50,인체노출(人體露出)," 전자파에 대한 인체의 노출로, 이에 대한 인체의 보호는 일반인 노출과 직업인 노출로 분류하여 규제하고 있다.<br> ☞ general public : 일반인, worker : 직업인"
51,인체유도전류,"전계와 자계에 의하여 인체 내부에 약한 유도전류를 발생시키는데, 전계의 유도전류는 주로 인체의 표면을 따라 흐르고 그 방향은 전계와 일치하나, 균일한 자계속에서의 인체에는 자계의 집중현상이 없고 인체를 통과하여 작용한다. 따라서 내부에 있는 인체의 각 장기에는 자계도 작용하게 되며 그 쇄교하는 단면적이 큰 표면부분에 가장 큰 유도전류가 발생한다. 송전선로에서 발생하는 전계와 자계에 의한 유도전류는 심작박동에 필요한 약 1000mA/m2 전류에"
52,인체정전용량,전기 회로가 인체에 근접함으로써 발생하는 정전 용량.
53,인출선,"발전소, 변전소에서 송.배전선으로 전력을 이송하기 위해 끌어낸 전선."
54,인출형,계전기 요소를 빼 내거나 시험회로를 구성할때 외부회로가 단락 또는 개방하여 시험 및 점검이 용이하도록 고안된 접속장치를 갖고 있는 계전기.
55,인출형,"계전기요소를 떼어 내거나 시험회로를 구성할 때에 외부회로가 단락 또는 개방되어 운전에 지장을 주지 않고, 또 회로시험 구성에 용이하도록 고려된 접속장치를 갖고 있는 것."
56,인터셉트밸브,재열증기의 터빈입구부에 설치하여 위급시 재열증기를 제어하는 터빈의 속도를 방지하는 밸브.
57,인텔리그리드,"Smart Grid를 구현하기 위하여 미국에서 진행중인 프로젝트의 하나로 미국 전력연구소(EPRI)에서 주관하여 아키텍쳐, 지능형 배전 및 계통 안정화 알고리즘 등 개발 추진"
58,인플레이션,"인플레이션이란 원가(임금.원재료 등)의 상승, 초과수요, 재정지출의 증가등으로 통화량이 지속적으로 팽창하여, 물가는 오르며 화폐가치는 하락하고 실질소득이 떨어지는 현상."
59,인홈디스플레이,"전력사용량 정보를 유무선 통신장치를 통해 옥내의 소형 디스플레이에 표시하여, 고객이 현재 사용량 및 요금 등을 확인하여 스스로 에너지를 절감토록 유도하는 장치"
60,일과이분의일차단기방식,"2조의 모선을 설치하여 모선간에는 2회선당 3대의 차단기를 설치하여 모선과 기기, 또는 모선 사이를 접속하는 모선방식."
61,일괄조작일지시,전력계통의 급전지시의 하나로 중앙급전소에서 발전소와 변전소에 대하여 수 단계 조작을 일괄하여 지시하는 것. 조작내용이 정형적으로 단순하고 오조작 의 위험이 없는 경우에 실시한다.
62,일괄펄스계전기,"펄스의 선형적인 전송계에 있어서 2가지 혹은 그 이상되는 발생원에서의 펄스를 받아, 일괄해서 다른 펄스계전기 또는 수신기로 보내기 위한 디바이 스."
63,일광제어,건물의 전기조명을 보충하기 위해 자연조명을 사용하는 것. 감지기가 형광등 안정기에 작동하여 차례대로 전등의 조도를 낮추며 에너지 및 부하를 약 50 %까지 절감해 주는 효과를 갖는다.
64,일목적조작 일지시,"전력계통의 급전지시의 하나. 조작 결과 및 상황 등의 지시 내용을 총괄적으로 지시하고 수령자는 미리 정해진 순서에 따라 조작하는 것. 중앙급전소 에서 발전소와 변전소에 대한 일련의 조작을 목적으로 한다. 상황판단, 조작방법 혹은 지시내용이 틀릴 염려가 없는 경우에 실시한다."
65,일반용 전기설비,통산산업부령이 정하는 소규모의 전기설비로서 한정된 지역에서 전기를 사용하기 위하여 설치하는 전기 설비
66,일반전기사업,전기를 발전하거나 타인이 발전한 전기를 구입하여 일반의 수요에 응하여 전기를 공급하는 사업
67,일반전기사업자,전기사업법에 의하여 일반전기사업의 허가를 받은 자. 대규모 전기소비자와 구분된다. 일반소비자라고도 한다.
68,일반전기사업자,전기를 발전하거나 타인이 발전한 전기를 구입하여 일반의 고객에게 전기를 공급하는 사업의 허가를 받은 자를 의미
69,일반전기사업자/공익사업자,"전기를 발전하거나 타인이 발전한 전기를 구입하여 일반의 수용가에게 전기를 공급하는 사업의 허가를 받은자 : 한전 주로 공익사업을 수행하 는 사업자를 말함. 전기, 가스, 통신 등이 주로 해당됨."
70,일반전기업자,일반전기사업의 면허를 받은 자
71,일반측량,기본측량 및 공공측량외의 측량을 말한다. 다만 대통령령이 정하는 바에 의하여 건설교통부장관이 지정하는 측량은 제외
72,일반회로정수,"장거리 송전선로를 나타내는 4단자망에서 표현되는 A, B, C, D."
73,일선지락고장,3상회로에서 한 선이 지표 또는 외함에 연결되어 고장이 난 상태. 고장형태 중 가장 많은 빈도를 갖고 있으나 고장전류는 가장 작아 피해는 적다.
74,일저수용량,일간주기로 물을 채웠다 비웠다 할 수 있는 저수지의 저수용량.
75,일정예비율,"발전기 정비나 고장, 수력의 이상갈수 일기 등의 예측 불가능한 사태가 발생하더라도 미래 어떤 연도의 최대수요를 별지장 없이 만족시킬 수 있도 록, 즉 일정 수준의 공급신뢰도를 유지할 수 있도록, 매년 최대수요의 몇 %에 해당하는 설비를 예비력으로 두는 방법."
76,전기장 프로브," 전기장 프로브는 1970년대 초부터 내부 마이크로파 시스템의 실험적 측정에 사용되었고, Bassen 은 1970 년대 중반에 노출량의 평가를 위하여 소형이며 등방성인 다이오드로 부하된 전기장 프로브의 첫 번째 형태를 개발하였다. 노출량 평가에 광섬유 전기장 센서를 이용한 것은 1978 년도에 처음 제안되었고 최근 상업화되었다. 복사체 근처에서 전기장의 편파를 모르기 때문에, 물질을 모의한 조직내 등방성의 응답을 갖는 프로브만을 사용해야 하며, 세 개의 분리된 센서로 수직 계통내 전기장 성분을 측정하여 알 수 있다. 조직내 파장이 짧고, 유도된 다소 커다란 공간 전기장 기울기를 가지므로 프로브의 크기는 가능하면 작아야 하며, 더구나 전기장내 프로브의 상호작용은 무시되어야 한다."
77,전기장내에서 일,"W=qEd (W :일 , E :전기장 , d :이동거리) (비교, 중력장에서의 일 W=mgh )"
78,전기적 미소(電氣的 微小) 다이폴," 전체 길이가 파장에 비해 작은 다이폴. 주 : 두 도선이 동일 직선 상에 있는 일반적인 경우, 복사 패턴은 헤르쯔 다이폴의 패턴을 근사한다.<br> A dipole whose total length is small compared to the wavelength.  Note : For the common case that the two arms are collinear, the radiation pattern approximates that of a Hertzian dipole. IEEE Std. 100-1996"
79,전기적위치에너지=전위(電位),전기장내에서 단위 양전하를 한 점에서 다른점으로 이동시키는데 필요한 에너지이므로 이다. 따라서 이다.
80,전기접점,전류가 흐를 수 있도록 하는 도체 부분의 접합점.
81,전기장 세기의 수평성분(水平成分), 측정점을 통과하는 수평면에서의 전기장 세기 성분의 실효값. <br> The rms value of the component of the electric field strength in a horizontal plane passing through the point of measurement. IEEE Std 100-1996
82,전기장 유도(電氣場 誘導)," 시변 준(準) 정(靜) 전기장으로부터 유도가 일어나는 과정. 주 : 1) &quot;전기장 유도&quot;라는 용어는 &quot;전기 유도&quot;라는 용어보다 선호되는데, 그 이유는 &quot;전기 유도&quot;라는 용어가 전속 밀도를 의미하는 것으로 간주될 수 있기 때문이다. 2) 전기장 유도가 이전에는 정전 유도로 불렸는데, 정전장(靜電場)은 시 불변이기 때문에 이러한 사용법은 옳지 않다. <br> ☞ capacitive coupling : 용량성 결합<br> The induction process that results from time-varying quasi-static electric fields.  Note  : 1. The term &quot;electric field induction&quot; is preferred over &quot;electric induction&quot; because the latter may be taken to mean electric flux density. 2. Electric field induction was formerly called electrostatic induction. This usage is deprecated because electrostatic fields are time invariant. IEEE Std. 100-1996"
83,전기접촉,두 도체가 접점하는 부분
84,전기접촉기,"(1) 계전기, 접속기, 개패기 등에서 도전 부분으로, 같은 상대의 부분과 접촉 혹은 개방함으로써 회로를 개패 작용을 하는 기기. (2) 접촉자, 차단기의 개폐 동작에 의해 개패할 수 있는 접촉면을 갖는 기기."
85,전기품질,"주파수와 전압을 규정대로 유지 하는지의 여부와 정전 실적의 유무에따라 판정* 주파수 : 60±0.2Hz * 전 압 : 110±6V, 220±12V. 380±38V(전기사업법 제21조) 전력사업은 양질의 전기를 공급한다는 의무를 지니고 있지만,여기서 말하는 양질의 전기란 일 반적으로 주파수, 전압 등을 규정된 값으로 유지한다는 것과 전력공급에 있어서 충분한 신뢰도를 가지고 정전없이 공급을 계속한다는 것을 뜻함."
86,전기품질,"지금까지는 눈에 보이지 않는 무형의 상품인 전기상품의 특성 중 정전시간, 규정전압, 규정주파수 등의 요소를 말하는 것이었으나, 현대에는 이러 한 기본적인 요소에 더하여 서비스 지금까지는 눈에 보이지 않는 무형의 상품인 전기상품의 특성 중 정전시간, 규정전압, 규정주파수 등의 요소를 말하는 것이었으나, 현대에는 이러 한 기본적인 요소에 더하여 서비스 만족, 기업이미지 만족 등의 요소가 추가된 종합적인 개념으로 발전됨.[용어사전]"
87,전도 감응성(電導 感應性)," 불요 응답이나 성능 저하를 일으키는 전원선, 제어선, 신호선에 요구되는 장해 신호 전류 또는 전압의 양.   <br> A measure of the interference signal current or voltage required on power, control, and signal leads to cause an undesirable response or degradation of performance. <br> MIL-STD-463A (4.174), ANSI C63.14-1992"
88,전도(누설)전류(전동수중펌프용 케이블),케이블의 절연체 내 또는 표면을 흐르는 전류. 인가전계에 의해 발생하는 코로나 발전도 전도전류로서 보여진다.
89,전도된부하지속곡선,"부하지속곡선의 횡축과 종축을 바꾼 것. 시간축을 총누적시간으로 나누어 정규화할 수 있는데, 이 정규화 및 전도된 부하지속곡선은 부하의 누적확률분 포곡선에서 1을 뺀 곡선과 같다. 즉, 종축은 횡축의 부하 크기보다 크거나 같을 확률값을 나타낸다."
90,전자파(電磁波)펄스," 1. 과도적인 고강도 전자기장. 전자파 펄스는 일반적으로 지구 대기권 내 또는 근처에서의 핵폭발과 관련되나, 번개와 같이 기타의 전파원에 의해서도 전자파 펄스가 일어날 수도 있다. <br> 2. 핵폭발로 인해 생길 수 있는 것처럼, 한 시스템 전체가 안테나로 동작하여 광대역, 대전력의 영향을 받게 되는 현상.  <br> 3. 콤프턴 되튐(Compton-recoil) 전자에 의해 야기된 핵폭발로부터 나타나는 전자파복사 및 핵물질이나 이를 둘러싼 매질 내에서 산란된 광자로부터 나타나는 광전자. 이로 인한 전기장과 자기장은 전기전자 시스템에 결합하여 손상이 있는 전류서지와 전압서지를 발생시킬 수 있다. 또한 EMP 는 핵이 아닌 다른 방법으로 일어날 수도 있다. 4. 전자기 에너지의 광대역, 고강도, 단기간 버스트 현상. 주 : 핵폭발의 경우에, EMP 는 연속적인 주파수 스펙트럼으로 이루어진다. 대부분의 에너지는 3 Hz에서 30 kHz 사이의 저주파수 내에 분포된다.<br> ☞ nuclear electromagnetic pulse(NEMP) : 핵전자파펄스<br> 1. A transient high-intensity electromagnetic field. EMP is commonly associated with nuclear explosions in or near the Earth's atmosphere; however, electromagnetic pulses can arise from other sources, such as lightning. IEEE Std. 100-1996 <br> 2. Broadband high power effect encompassing the totality of a system as an antenna, such as would result from a nuclear burst. MIL-STD-463A (4.53) <br> 3. The electromagnetic radiation from a nuclear explosion caused by Compton-recoil electrons and photoelectrons from photons scattered in the materials of the nuclear device or in a surrounding medium as a result of a nuclear explosion or lighting. The resulting electric and magnetic fields may couple with electrical/electronic systems to produce damaging current and voltage surges. May also be caused by nonnuclear means. 4. A broadband, high-intensity, short-duration burst of electromagnetic energy. Note: In the case of a nuclear detonation, the electromagnetic pulse consists of a continuous frequency spectrum. Most of the energy is distributed throughout the lower frequencies between 3 Hz and 30 kHz. <br> IEEE Std. 211-1990, <br><a href=""javascript:window.open('http://www.its.bldrdoc.gov/fs-1037/','LINK','scrollbars=yes,resizables=yes,menubar=yes,width=600,height=480,top=100,left=200');"">http://www.its.bldrdoc.gov/fs-1037/</a>"
91,전자파내성(電磁波耐性), 자기장이나 전기장으로부터 수신기로 직접 결합되거나 조사(照射)되는 불요 신호의 영향으로부터 견딜 수 있는 정도. <br> Electromagnetic immunity is the immunity from the effects of an unwanted signals coupled or irradiated directly into the receiver from magnetic or electric fields. VDE 0872 part2 2.6.3
92,전자파민감성(電磁波敏感性)," 전자파 방해가 존재할 때, 기기, 장비 또는 시스템이 성능저하를 일으킬 수 있는 정도. 주 : 감응성은 내성의 부족 정도를 의미한다. <br> The inability of a device, equipment or system to perform without degradation in the presence of an electromagnetic disturbance.  Note : Susceptibility is a lack of immunity. IEV-161-01-21, ANSI C63.14-1992"
