district_id,state,locale,pct_black/hispanic,pct_free/reduced,county_connections_ratio,pp_total_raw
2165,Utah,Suburb,"[0.2, 0.4[","[0.2, 0.4[","[0.18, 1[","[6000, 8000["
1179,NaN,NaN,NaN,NaN,NaN,NaN
2074,California,Suburb,"[0.4, 0.6[","[0.2, 0.4[","[0.18, 1[",
1142,Connecticut,Rural,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[",
7964,District Of Columbia,City,"[0.8, 1[",,"[0.18, 1[","[18000, 20000["
8784,Illinois,Suburb,"[0.6, 0.8[","[0.6, 0.8[","[0.18, 1[","[10000, 12000["
7798,New York,Rural,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[","[22000, 24000["
3550,Minnesota,Suburb,"[0.4, 0.6[","[0.6, 0.8[","[0.18, 1[","[14000, 16000["
1444,Connecticut,Suburb,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[",
2601,Illinois,Suburb,"[0.6, 0.8[","[0.4, 0.6[","[0.18, 1[","[12000, 14000["
7660,Utah,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[6000, 8000["
9899,Illinois,Suburb,"[0.2, 0.4[","[0, 0.2[","[0.18, 1[","[12000, 14000["
1742,Missouri,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[","[8000, 10000["
4629,Illinois,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[","[16000, 18000["
4569,Connecticut,City,"[0.6, 0.8[","[0.4, 0.6[","[0.18, 1[",
4949,Massachusetts,Suburb,"[0, 0.2[",,"[0.18, 1[","[16000, 18000["
6250,Connecticut,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[",
8425,Ohio,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
6418,District Of Columbia,City,"[0.4, 0.6[",,"[0.18, 1[","[18000, 20000["
1558,Connecticut,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
3222,Indiana,City,"[0.2, 0.4[","[0.6, 0.8[","[0.18, 1[","[8000, 10000["
1772,Utah,City,"[0.2, 0.4[","[0.4, 0.6[","[0.18, 1[","[8000, 10000["
5604,California,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
9007,Arizona,City,"[0.8, 1[",,"[0.18, 1[",
8884,Texas,City,"[0.6, 0.8[","[0.4, 0.6[","[0.18, 1[","[8000, 10000["
8184,NaN,NaN,NaN,NaN,NaN,NaN
1712,Illinois,Suburb,"[0.4, 0.6[","[0.4, 0.6[","[0.18, 1[","[12000, 14000["
3412,California,City,"[0.6, 0.8[","[0.4, 0.6[","[0.18, 1[",
4029,NaN,NaN,NaN,NaN,NaN,NaN
5257,NaN,NaN,NaN,NaN,NaN,NaN
5903,NaN,NaN,NaN,NaN,NaN,NaN
6165,NaN,NaN,NaN,NaN,NaN,NaN
2940,New York,Suburb,"[0, 0.2[","[0.2, 0.4[",,"[14000, 16000["
5042,Illinois,Town,"[0.2, 0.4[","[0.8, 1[","[0.18, 1[","[10000, 12000["
3692,Utah,Suburb,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[","[8000, 10000["
4683,Texas,Suburb,"[0.4, 0.6[","[0.4, 0.6[","[0.18, 1[","[8000, 10000["
7858,NaN,NaN,NaN,NaN,NaN,NaN
2567,Washington,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[","[12000, 14000["
2321,California,Rural,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
7767,North Carolina,City,"[0.4, 0.6[","[0.6, 0.8[","[0.18, 1[","[10000, 12000["
7308,Utah,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[","[4000, 6000["
5006,Massachusetts,Suburb,"[0, 0.2[",,"[0.18, 1[","[14000, 16000["
9140,Connecticut,Suburb,"[0, 0.2[","[0.2, 0.4[",,
5380,NaN,NaN,NaN,NaN,NaN,NaN
8902,Wisconsin,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[","[10000, 12000["
5890,Illinois,Suburb,"[0.2, 0.4[","[0.2, 0.4[","[0.18, 1[","[18000, 20000["
4031,Connecticut,Suburb,"[0.2, 0.4[","[0.4, 0.6[","[0.18, 1[",
2017,NaN,NaN,NaN,NaN,NaN,NaN
6640,Tennessee,Suburb,"[0, 0.2[",,"[0.18, 1[","[8000, 10000["
6194,Connecticut,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
3864,Utah,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[6000, 8000["
9839,NaN,NaN,NaN,NaN,NaN,NaN
2598,Ohio,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
5600,Utah,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[","[6000, 8000["
2991,Ohio,Suburb,"[0, 0.2[","[0, 0.2[",,
7352,NaN,NaN,NaN,NaN,NaN,NaN
4749,NaN,NaN,NaN,NaN,NaN,NaN
2106,California,Suburb,"[0.2, 0.4[","[0, 0.2[","[0.18, 1[",
2549,NaN,NaN,NaN,NaN,NaN,NaN
6919,Florida,Suburb,"[0.4, 0.6[","[0.4, 0.6[","[0.18, 1[","[6000, 8000["
7980,Virginia,Rural,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[","[10000, 12000["
3371,NaN,NaN,NaN,NaN,NaN,NaN
1584,NaN,NaN,NaN,NaN,NaN,NaN
2060,Ohio,City,"[0.4, 0.6[",,"[0.18, 1[",
7387,Utah,City,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[","[6000, 8000["
3471,NaN,NaN,NaN,NaN,NaN,NaN
1000,Connecticut,Suburb,"[0.6, 0.8[","[0.2, 0.4[","[0.18, 1[",
5150,Ohio,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[",
2956,Missouri,City,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[","[8000, 10000["
9553,Illinois,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[14000, 16000["
1536,Indiana,Rural,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[","[8000, 10000["
8937,Illinois,Rural,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[12000, 14000["
1791,Virginia,City,"[0.6, 0.8[","[0.6, 0.8[",,"[10000, 12000["
4516,Connecticut,Suburb,"[0.4, 0.6[","[0.4, 0.6[","[0.18, 1[",
2872,North Dakota,Rural,"[0, 0.2[","[0, 0.2[","[1, 2[",
2439,Massachusetts,Suburb,"[0, 0.2[",,,"[16000, 18000["
8520,New York,Rural,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[","[16000, 18000["
2130,Washington,Suburb,"[0.4, 0.6[","[0.6, 0.8[","[0.18, 1[","[14000, 16000["
3772,Utah,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[","[8000, 10000["
4775,New York,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[","[16000, 18000["
3959,NaN,NaN,NaN,NaN,NaN,NaN
9778,Utah,Town,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[","[8000, 10000["
5524,Massachusetts,Rural,"[0, 0.2[",,"[0.18, 1[","[16000, 18000["
1470,New York,Rural,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[","[32000, 34000["
5802,Connecticut,Suburb,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[",
1324,Indiana,Rural,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[","[8000, 10000["
3160,Utah,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[","[8000, 10000["
2393,Illinois,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[12000, 14000["
4203,NaN,NaN,NaN,NaN,NaN,NaN
9230,Utah,Rural,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[6000, 8000["
3248,Illinois,Suburb,"[0.6, 0.8[","[0.6, 0.8[","[0.18, 1[","[12000, 14000["
7086,NaN,NaN,NaN,NaN,NaN,NaN
8556,Massachusetts,Suburb,"[0, 0.2[",,"[0.18, 1[","[16000, 18000["
7829,NaN,NaN,NaN,NaN,NaN,NaN
5627,Indiana,Rural,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[","[8000, 10000["
4550,California,City,"[0.8, 1[","[0.6, 0.8[","[0.18, 1[",
7752,Wisconsin,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[10000, 12000["
2729,Connecticut,Rural,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
6049,NaN,NaN,NaN,NaN,NaN,NaN
4348,Missouri,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[","[8000, 10000["
3986,Massachusetts,Rural,"[0, 0.2[",,"[0.18, 1[","[16000, 18000["
9537,Ohio,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
1052,Illinois,Suburb,"[0.2, 0.4[","[0.2, 0.4[","[0.18, 1[","[16000, 18000["
6762,Utah,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[4000, 6000["
4408,NaN,NaN,NaN,NaN,NaN,NaN
3670,Ohio,Rural,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[",
1204,Utah,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[6000, 8000["
2870,Indiana,Suburb,"[0.8, 1[","[0.6, 0.8[","[0.18, 1[","[8000, 10000["
6721,NaN,NaN,NaN,NaN,NaN,NaN
3558,North Carolina,Suburb,"[0.2, 0.4[","[0.2, 0.4[","[0.18, 1[","[8000, 10000["
9729,NaN,NaN,NaN,NaN,NaN,NaN
5970,NaN,NaN,NaN,NaN,NaN,NaN
1450,Connecticut,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
3080,Massachusetts,Suburb,"[0.2, 0.4[",,"[0.18, 1[","[16000, 18000["
8017,NaN,NaN,NaN,NaN,NaN,NaN
2517,Massachusetts,Suburb,"[0, 0.2[",,,"[18000, 20000["
1570,California,Suburb,"[0.2, 0.4[","[0.2, 0.4[","[0.18, 1[",
4937,NaN,NaN,NaN,NaN,NaN,NaN
4668,Utah,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[","[6000, 8000["
1039,NaN,NaN,NaN,NaN,NaN,NaN
6055,Connecticut,Rural,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
6665,NaN,NaN,NaN,NaN,NaN,NaN
5057,NaN,NaN,NaN,NaN,NaN,NaN
2209,NaN,NaN,NaN,NaN,NaN,NaN
2285,Illinois,Suburb,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[","[12000, 14000["
2172,California,City,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
7741,Ohio,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
6998,Connecticut,Rural,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
3322,California,City,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
8796,NaN,NaN,NaN,NaN,NaN,NaN
4083,Connecticut,Rural,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[",
3936,Connecticut,Suburb,"[0, 0.2[","[0.2, 0.4[",,
7675,Massachusetts,Suburb,"[0, 0.2[",,"[0.18, 1[","[20000, 22000["
4744,Utah,Suburb,"[0.2, 0.4[","[0.2, 0.4[","[0.18, 1[","[8000, 10000["
9478,Ohio,Town,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
7541,Utah,Suburb,"[0.2, 0.4[","[0.2, 0.4[","[0.18, 1[","[8000, 10000["
3301,NaN,NaN,NaN,NaN,NaN,NaN
8723,NaN,NaN,NaN,NaN,NaN,NaN
1270,Utah,Rural,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[","[8000, 10000["
8076,Connecticut,Suburb,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[",
6066,NaN,NaN,NaN,NaN,NaN,NaN
6131,NaN,NaN,NaN,NaN,NaN,NaN
1624,NaN,NaN,NaN,NaN,NaN,NaN
6345,Massachusetts,Suburb,"[0.2, 0.4[",,"[0.18, 1[","[12000, 14000["
8160,NaN,NaN,NaN,NaN,NaN,NaN
8702,NaN,NaN,NaN,NaN,NaN,NaN
4183,Utah,Town,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[","[8000, 10000["
9357,California,City,"[0.4, 0.6[","[0.2, 0.4[","[0.18, 1[",
8845,NaN,NaN,NaN,NaN,NaN,NaN
5510,Washington,City,"[0.2, 0.4[","[0.4, 0.6[","[0.18, 1[","[14000, 16000["
6104,Ohio,Suburb,"[0.2, 0.4[","[0.2, 0.4[","[0.18, 1[",
3228,Indiana,Town,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[","[8000, 10000["
5422,Missouri,Town,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[","[8000, 10000["
8127,Connecticut,Suburb,"[0.2, 0.4[","[0.2, 0.4[","[0.18, 1[",
4165,NaN,NaN,NaN,NaN,NaN,NaN
3640,Connecticut,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
8256,New Jersey,Suburb,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[14000, 16000["
1857,New Hampshire,Rural,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[",
5479,District Of Columbia,City,"[0.8, 1[",,"[0.18, 1[","[18000, 20000["
3314,Connecticut,Rural,"[0, 0.2[","[0, 0.2[","[0.18, 1[",
8748,Massachusetts,City,"[0, 0.2[",,"[0.18, 1[","[18000, 20000["
4373,Utah,City,"[0, 0.2[","[0, 0.2[","[0.18, 1[","[8000, 10000["
7342,Massachusetts,Suburb,"[0, 0.2[",,"[0.18, 1[","[14000, 16000["
6046,Connecticut,Rural,"[0, 0.2[","[0, 0.2[",,
7723,Massachusetts,Suburb,"[0.4, 0.6[",,"[0.18, 1[","[14000, 16000["
6774,NaN,NaN,NaN,NaN,NaN,NaN
5934,Connecticut,Rural,"[0, 0.2[","[0, 0.2[",,
9927,Massachusetts,Suburb,"[0, 0.2[",,,"[16000, 18000["
2441,Utah,Town,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[","[8000, 10000["
6144,Michigan,Suburb,"[0.4, 0.6[","[0.6, 0.8[","[0.18, 1[","[10000, 12000["
3390,NaN,NaN,NaN,NaN,NaN,NaN
5404,NaN,NaN,NaN,NaN,NaN,NaN
4314,New Hampshire,Rural,"[0, 0.2[","[0.2, 0.4[","[0.18, 1[",
9536,New York,City,"[0.8, 1[","[0.8, 1[","[0.18, 1[",
6512,Massachusetts,Suburb,"[0, 0.2[",,"[0.18, 1[","[14000, 16000["
3732,Michigan,Suburb,"[0.4, 0.6[","[0.4, 0.6[","[0.18, 1[","[12000, 14000["
2201,Connecticut,City,"[0.4, 0.6[","[0.4, 0.6[","[0.18, 1[",
9463,NaN,NaN,NaN,NaN,NaN,NaN
9303,Massachusetts,Suburb,"[0, 0.2[",,"[0.18, 1[","[14000, 16000["
3266,Utah,Town,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[","[10000, 12000["
1965,Massachusetts,Suburb,"[0, 0.2[",,"[0.18, 1[","[22000, 24000["
5882,Massachusetts,Suburb,"[0, 0.2[",,"[0.18, 1[","[14000, 16000["
1705,Washington,City,"[0.2, 0.4[","[0.4, 0.6[","[0.18, 1[","[12000, 14000["
9515,New York,Rural,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[","[18000, 20000["
8103,Tennessee,Rural,"[0.2, 0.4[",,"[0.18, 1[","[8000, 10000["
4929,Virginia,Rural,"[0, 0.2[","[0.4, 0.6[","[0.18, 1[","[12000, 14000["
7975,California,City,"[0.6, 0.8[","[0.6, 0.8[","[0.18, 1[",
7164,California,City,"[0.6, 0.8[","[0.6, 0.8[","[0.18, 1[",
