LP ID,URL,Product Name,Provider/Company Name,Sector(s),Primary Essential Function
96116,http://www.cliffsnotes.com,CliffsNotes,Houghton Mifflin Harcourt,PreK-12; Higher Ed,LC - Study Tools
85975,http://www.code.org,Code.org,Code.org,PreK-12,LC - Digital Learning Platforms
94158,http://www.coolmath.com,CoolMath,Constructive Media,PreK-12,"LC - Sites, Resources & Reference"
64947,http://www.desmos.com,Desmos,Desmos,PreK-12; Higher Ed,LC - Study Tools
15225,http://www.merriam-webster.com/,Dictionary - Merriam-Webster,Merriam-Webster,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Thesaurus & Dictionary"
14168,http://dictionary.com,Dictionary.com,Dictionary.com,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Thesaurus & Dictionary"
28633,http://www.discoveryeducation.com/,Discovery Education,Discovery Communications,PreK-12,LC - Digital Learning Platforms
71279,http://www.dreambox.com/,DreamBox,Dreambox Learning,PreK-12,LC - Digital Learning Platforms
98001,http://www.dropbox.com,Dropbox,Dropbox,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other
43491,http://duolingo.com/,Duolingo,Duolingo,PreK-12; Higher Ed; Corporate,LC - Digital Learning Platforms
35971,http://www.edpuzzle.com/,Edpuzzle,EDpuzzle Inc.,PreK-12,LC - Digital Learning Platforms
50712,http://earthquake.usgs.gov/learn/kids/,Earthquakes for Kids,US Geological Survey,PreK-12,"LC - Sites, Resources & Reference"
57724,http://www.easybib.com/,EasyBib,Imagine Easy Solutions,PreK-12; Higher Ed,LC - Study Tools
95253,http://www.edgenuity.com/,Edgenuity,Edgenuity Inc.,PreK-12; Higher Ed; Corporate,LC - Digital Learning Platforms
56695,http://ellevationeducation.com/,Ellevation,Ellevation,PreK-12,"SDO - Data, Analytics & Reporting"
54430,http://www.britannica.com/,Encyclopedia Britannica,"Encyclopaedia Britannica, Inc.",PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Encyclopedia"
26970,https://www.engageny.org/,EngageNY,New York State Education Department,PreK-12,"LC - Sites, Resources & Reference"
98402,https://www.reflexmath.com/,Reflex Math,"ExploreLearning, LLC",PreK-12,LC - Digital Learning Platforms
13983,http://www.facebook.com/,Facebook,Facebook,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other
19044,https://fligprid.com,Flipgrid,Flipgrid,PreK-12,LC - Content Creation & Curation
16753,http://www.flocabulary.com/,Flocabulary,Flocabulary,PreK-12; Higher Ed,LC - Digital Learning Platforms
83076,http://www.geogebra.org,GeoGebra,GeoGebra,PreK-12,LC - Study Tools
23927,https://goguardian.com/,GoGuardian,GoGuardian,PreK-12,CM - Classroom Engagement & Instruction - Classroom Management
86703,https://www.gonoodle.com/,GoNoodle,HealthTeacher,PreK-12,CM - Classroom Engagement & Instruction - Classroom Management
77698,http://www.goodreads.com,Goodreads,Goodreads,PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Digital Collection & Repository"
72713,http://www.google.com/books,Google Books,Google LLC,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference"
30851,https://www.google.com/chrome/,Google Chrome,Google LLC,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other
95731,http://docs.google.com/,Google Docs,Google LLC,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation
99916,https://drive.google.com/start,Google Drive,Google LLC,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other
11206,http://www.google.com/earth/,Google Earth,Google LLC,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference"
33185,http://www.google.com/forms/about/,Google Forms,Google LLC,PreK-12; Higher Ed; Corporate,CM - Classroom Engagement & Instruction - Assessment & Classroom Response
48333,https://hangouts.google.com/,Google Hangouts,Google LLC,PreK-12; Higher Ed; Corporate,CM - Virtual Classroom - Video Conferencing & Screen Sharing
69827,http://sites.google.com/,Google Sites,Google LLC,PreK-12; Higher Ed; Corporate,"SDO - Data, Analytics & Reporting - Site Hosting & Data Warehousing"
16406,http://translate.google.com/,Google Translate,Google LLC,PreK-12; Higher Ed; Corporate,LC - Study Tools
21917,https://voice.google.com,Google Voice,Google LLC,PreK-12; Higher Ed; Corporate,CM - Classroom Engagement & Instruction - Communication & Messaging
52448,http://plus.google.com/,Google Currents,Google LLC,PreK-12; Higher Ed; Corporate,CM - Classroom Engagement & Instruction - Communication & Messaging
51340,https://www.grammarly.com/,Grammarly,Grammarly,PreK-12; Higher Ed; Corporate,LC - Study Tools
95767,http://hapara.com/,Hapara,Hapara,PreK-12,CM - Classroom Engagement & Instruction - Classroom Management
33624,http://www.howstuffworks.com/,HowStuffWorks,HowStuffWorks,PreK-12; Higher Ed,"LC - Sites, Resources & Reference"
80616,https://www.ixl.com/math/,IXL Math,IXL Learning,PreK-12,LC - Digital Learning Platforms
33562,http://www.ixl.com/,IXL Language,IXL Learning,,
35007,http://www.imaginelearning.com/,Imagine Learning,Imagine Learning,PreK-12,LC - Digital Learning Platforms
72784,http://www.infinitecampus.com/,Infinite Campus,Infinite Campus,PreK-12,"SDO - Data, Analytics & Reporting - Student Information Systems (SIS)"
18904,http://www.instructables.com/,Instructables," Autodesk, Inc",PreK-12,"LC - Sites, Resources & Reference"
50762,http://archive.org/,Internet Archive,The Internet Archive,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Digital Collection & Repository"
59257,http://www.issuu.com,Issuu,Issuu,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation
26881,http://www.istation.com,iStation,Istation,PreK-12,LC - Digital Learning Platforms
84217,http://blogs.kqed.org/education/e-books/,KQED E-books,KQED,PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Digital Collection & Repository"
24711,https://kahoot.it,Kahoot!,Kahoot! AS,PreK-12; Higher Ed; Corporate,LC - Study Tools
29322,http://www.khanacademy.org,Khan Academy,Khan Academy,PreK-12; Higher Ed,LC - Digital Learning Platforms
52175,http://www.washingtonpost.com/lifestyle/kidspost,The Washington Post KidsPost,Washington Post,PreK-12,"LC - Sites, Resources & Reference"
30025,http://www.learnzillion.com/,LearnZillion,LearnZillion,PreK-12,LC - Courseware & Textbooks
29921,http://www.learninga-z.com/index.html,Learning A-Z,Learning A-Z,PreK-12,LC - Courseware & Textbooks
25559,http://www.lexialearning.com/,Lexia Core5 Reading,Lexia Learning,PreK-12,LC - Digital Learning Platforms
10650,http://www.loc.gov,Library of Congress,Library of Congress,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference"
41587,http://www.linkedin.com,LinkedIn,LinkedIn,PreK-12; Higher Ed; Corporate,LC - Career Planning & Job Search
36102,https://littlealchemy.com/,Little Alchemy,Jakub Koziol,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations"
94954,https://www.masteryconnect.com/,MasteryConnect,MasteryConnect,PreK-12,LC - Digital Learning Platforms
92867,http://www.mathplayground.com,Math Playground,Math Playground,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations"
57949,https://mathway.com/mobile,Mathway,Mathway,PreK-12; Higher Ed,LC - Study Tools
81127,http://spaceplace.nasa.gov,NASA's Space Place,NASA,PreK-12,"LC - Sites, Resources & Reference"
16468,http://www.archives.gov/,National Archives,United States National Archives,PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Digital Collection & Repository"
55031,https://nearpod.com/,Nearpod,Nearpod Inc.,PreK-12,LC - Digital Learning Platforms
97280,http://www.newsela.com,Newsela,Newsela,PreK-12,LC - Digital Learning Platforms
62934,http://www.noredink.com/,NoRedInk,NoRedInk,PreK-12,LC - Digital Learning Platforms
19181,http://noodletools.com/,NoodleTools,NoodleTools,PreK-12; Higher Ed,LC - Study Tools
26372,https://www.overdrive.com/,OverDrive Education,OverDrive,PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Digital Collection & Repository"
51853,http://pbskids.org/,PBS Kids,PBS,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations"
86575,http://www.pbslearningmedia.org/,PBS LearningMedia,PBS,PreK-12,LC - Digital Learning Platforms
73101,http://padlet.com/,Padlet,Padlet,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation
44853,https://www.panoramaed.com/,Panorama Education,Panorama Education,PreK-12,SDO - Human Resources
90440,https://www.pebblego.com/login.php,PebbleGo,Capstone,PreK-12,LC - Digital Learning Platforms
37017,https://pixlr.com/,Pixlr,Pixlr,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation
92871,https://www.powerschool.com/,PowerSchool,PowerSchool Group LLC,PreK-12; Higher Ed; Corporate,"SDO - Data, Analytics & Reporting - Student Information Systems (SIS)"
65358,http://www.prezi.com,Prezi,Prezi Inc.,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation
64948,https://prodigygame.com/,Prodigy,SMARTeacher Inc.,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations"
49570,http://www.ptable.com/,Ptable,Michael Dayah,PreK-12; Higher Ed,"LC - Sites, Resources & Reference"
23483,http://owl.english.purdue.edu/,Purdue Online Writing Lab,Online Writing Lab,PreK-12; Higher Ed,"LC - Sites, Resources & Reference"
49062,http://www.quia.com/web,Quia Web,IXL Learning,PreK-12,LC - Digital Learning Platforms
20594,http://www.quill.org/,Quill,Quill.org,PreK-12,LC - Study Tools
98265,http://quizlet.com/,Quizlet,Quizlet,PreK-12,LC - Study Tools
80144,https://www.quora.com/,Quora,Quora,PreK-12; Higher Ed; Corporate,LC - Study Tools - Q&A
83862,http://www.raz-kids.com/,Raz-Kids,Learning A-Z,PreK-12,LC - Digital Learning Platforms
64915,http://www.readworks.org/,ReadWorks,ReadWorks,PreK-12,LC - Digital Learning Platforms
55355,http://www.readwritethink.org/,ReadWriteThink,ReadWriteThink.org,PreK-12,"LC - Sites, Resources & Reference"
84007,http://www.readinga-z.com,Reading A-Z,Learning A-Z,PreK-12,LC - Courseware & Textbooks
95859,http://remind.com/,Remind,Remind101,PreK-12,CM - Classroom Engagement & Instruction - Communication & Messaging
64998,http://web.stmath.com/,ST Math,MIND Research Institute,PreK-12,LC - Digital Learning Platforms
56218,http://www.schoolloop.com/,School Loop,School Loop,PreK-12,"SDO - Data, Analytics & Reporting - Site Hosting & Data Warehousing"
49094,http://www.schooltube.com/,SchoolTube,SchoolTube,PreK-12; Higher Ed,CM - Classroom Engagement & Instruction - Classroom Management
54550,http://www.schoolnet.com/,Schoolnet,Savvas Learning Company | Formerly Pearson K12 Learning,PreK-12,LC - Digital Learning Platforms
20069,http://www.schoology.com/,Schoology,Schoology,PreK-12,SDO - Learning Management Systems (LMS)
93256,http://www.nature.com/scitable,Scitable,"Nature America, Inc",PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Digital Collection & Repository"
71805,http://scratch.mit.edu/,Scratch,MIT Media Lab,PreK-12,LC - Content Creation & Curation
50580,http://securly.com/,Securly Anywhere Filter,Securly Inc ,PreK-12,SDO - School Management Software - Mobile Device Management
56028,http://www.shmoop.com,Shmoop,"Shmoop University, Inc",PreK-12,LC - Study Tools
12803,http://www.slideshare.net/,SlideShare,LinkedIn,PreK-12; Higher Ed,"LC - Sites, Resources & Reference"
30593,http://www.socrative.com/,Socrative,Showbie Inc ,PreK-12,LC - Digital Learning Platforms
54827,http://www.soundcloud.com,SoundCloud,SoundCloud,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Streaming Services"
85072,http://www.space.com/,Space.com,Purch,PreK-12; Higher Ed,"LC - Sites, Resources & Reference"
49751,http://www.sparknotes.com,SparkNotes,SparkNotes,PreK-12; Higher Ed,LC - Study Tools
55450,https://apps.apple.com/us/app/spotify-music-and-podcasts/id324684580?ign-mpt=uo%3D4,Spotify: Music and podcasts,Spotify Ltd,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Streaming Services"
64838,http://www.starfall.com/,Starfall,Starfall Education,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations"
39841,http://studyjams.scholastic.com,StudyJams!,Scholastic Inc,PreK-12,"LC - Sites, Resources & Reference"
58986,http://www.tolerance.org/,Learning for Justice,Southern Poverty Law Center,PreK-12,"LC - Sites, Resources & Reference"
94264,http://www.physicsclassroom.com/,The Physics Classroom,"Physics Classroom, LLC",PreK-12; Higher Ed,"LC - Sites, Resources & Reference"
86059,http://thesaurus.com/,Thesaurus.com,Dictionary.com,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Thesaurus & Dictionary"
78586,http://www.thinglink.com,ThingLink,ThingLink,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation
14124,http://www.tumblr.com/,Tumblr,Tumblr ,PreK-12; Higher Ed,LC/CM/SDO - Other
73323,http://turnitin.com/,Turnitin,Turnitin,PreK-12; Higher Ed,CM - Teacher Resources - Grading & Attendance
41581,http://www.tynker.com/,Tynker,Neuron Fuel,PreK-12,LC - Digital Learning Platforms
93742,http://www.typingclub.com,TypingClub,TypingClub,PreK-12; Higher Ed; Corporate,LC - Digital Learning Platforms
75451,http://www.ushmm.org/,United States Holocaust Memorial Museum,US Holocaust Museum,PreK-12; Higher Ed,"LC - Sites, Resources & Reference"
26753,http://vimeo.com/,Vimeo,Vimeo,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation
14769,http://www.spellingcity.com/,Vocabulary Spelling City,VocabularySpellingCity,PreK-12,LC - Digital Learning Platforms
94324,http://www.wevideo.com/education,WeVideo for Schools,"WeVideo, Inc.",PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation
32050,https://www.webex.com/,WebEx,Cisco,PreK-12; Higher Ed; Corporate,CM - Virtual Classroom - Video Conferencing & Screen Sharing
13699,http://www.weebly.com,Weebly,Weebly,Corporate,"SDO - Data, Analytics & Reporting"
68490,http://commons.wikimedia.org/,Wikimedia Commons,The Wikimedia Foundation,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Digital Collection & Repository"
13496,http://www.wikipedia.org/,Wikipedia,The Wikimedia Foundation,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Encyclopedia"
25793,http://www.wix.com/,Wix,"Wix.com, Inc",PreK-12; Higher Ed; Corporate,"SDO - Data, Analytics & Reporting - Site Hosting & Data Warehousing"
69429,http://wordpress.com/,WordPress,WordPress,PreK-12; Higher Ed; Corporate,"SDO - Data, Analytics & Reporting - Site Hosting & Data Warehousing"
24744,http://worldbookonline.com/,World Book Online,"World Book, Inc",PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Encyclopedia"
11406,http://www.wyzant.com,WyzAnt,WyzAnt,PreK-12,LC - Study Tools - Tutoring
61384,http://www.xtramath.org/,XtraMath,XtraMath,PreK-12,LC - Digital Learning Platforms
83394,https://www.yelp.com/,Yelp,"Yelp, Inc",,
61292,http://www.youtube.com,YouTube,Google LLC,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Streaming Services"
93690,http://www.calculator.com,Calculator.com,Calculator.com,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference"
61441,http://www.i-ready.com/,i-Ready,Curriculum Associates,PreK-12,LC - Digital Learning Platforms
17182,http://www.icivics.org/,iCivics,iCivics Inc,PreK-12,"LC - Sites, Resources & Reference"
50724,https://www.myon.com/index.html,myON Reader,Renaissance Learning,PreK-12,LC - Digital Learning Platforms
54794,https://www.ets.org/,MAPP,Educational Testing Service,PreK-12; Higher Ed; Corporate,SDO - Large-Scale & Standardized Testing
63335,https://www.mathgames.com/,Math Games (MathGames),TeachMe,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations"
57343,http://goformative.com/,Formative,Formative,PreK-12,LC - Digital Learning Platforms
40928,https://www.peardeck.com/,Pear Deck,Pear Deck,PreK-12,LC - Digital Learning Platforms
58235,http://ed.ted.com/,TedEd,TED Conferences,PreK-12; Higher Ed,"LC - Sites, Resources & Reference"
32213,https://classroom.google.com,Google Classroom,Google LLC,PreK-12; Higher Ed; Corporate,SDO - Learning Management Systems (LMS)
63178,http://www.learnplatform.com/,LearnPlatform,Lea(R)n,,
26696,https://www.surveymonkey.com/,SurveyMonkey,SurveyMonkey,PreK-12; Higher Ed; Corporate,CM - Classroom Engagement & Instruction - Assessment & Classroom Response
49571,http://www.education.com/,Education.com,Education.com,PreK-12,"LC - Sites, Resources & Reference"
25585,http://www.heinemann.com/fountasandpinnell/lli_overview.aspx,Leveled Literacy Intervention,Houghton Mifflin Harcourt,PreK-12,LC - Courseware & Textbooks
59304,http://www.weareteachers.com/,WeAreTeachers,WeAreTeachers,PreK-12,CM - Teacher Resources - Lesson Planning
78662,https://www.teachervision.com/,TeacherVision,Sandbox Networks,PreK-12,CM - Teacher Resources - Lesson Planning
65277,https://www.teacherspayteachers.com/,TeachersPayTeachers,TEACHERSPAYTEACHERS,PreK-12,CM - Teacher Resources - Lesson Planning
34887,http://www.naviance.com/,Naviance,Hobsons,PreK-12,LC - Career Planning & Job Search
91030,http://brainly.com/,Brainly,Brainly,PreK-12,LC - Study Tools - Q&A
78063,https://www.classlink.com/,ClassLink,ClassLink,PreK-12; Higher Ed,SDO - School Management Software - SSO
35237,http://www.sharpschool.com/,Sharp School,SharpSchool,PreK-12,"SDO - Data, Analytics & Reporting - Site Hosting & Data Warehousing"
37153,https://www.zearn.org/,Zearn,Zearn,PreK-12,LC - Digital Learning Platforms
67035,http://www.commonlit.org/,CommonLit,CommonLit,PreK-12,LC - Digital Learning Platforms
76229,http://www.readtheory.org/,Read Theory,Read Theory,PreK-12,LC - Digital Learning Platforms
52615,http://mysteryscience.com/,Mystery Science,"Mystery Science, Inc",PreK-12,"LC - Sites, Resources & Reference"
24120,http://www.edulastic.com/,Edulastic,Edulastic,PreK-12,LC - Digital Learning Platforms
32340,http://genius.com/static/education,Education Genius,Genius Media Group,,
55032,http://www.ascd.org/professional-development.aspx,ASCD Professional Development Tools,Association for Supervision and Curriculum Development,PreK-12,CM - Teacher Resources - Professional Learning
50692,https://www.schoolmessenger.com,SchoolMessenger,West Corporation,PreK-12,CM - Classroom Engagement & Instruction - Communication & Messaging
73952,http://www.mheducation.com,McGraw-Hill Education,McGraw-Hill PreK-12,PreK-12; Higher Ed,LC - Courseware & Textbooks
81236,https://www.box.com/,Box,Box,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other
28525,https://www.renaissance.com,Renaissance Learning,Renaissance Learning,PreK-12,LC - Digital Learning Platforms
71275,http://wistia.com/,Wistia,Wistia,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation
67431,http://www.autodesk.com,Autodesk," Autodesk, Inc",PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation
43149,http://contentkeeper.com/,ContentKeeper,ContentKeeper Technologies,PreK-12; Higher Ed; Corporate,SDO - School Management Software - Mobile Device Management
85991,http://www.microsoft.com/en-us/education/products/office/default.aspx,Microsoft Office 365,Microsoft,,
57293,http://www.worldcampus.psu.edu,Penn State World Campus,The Pennsylvania State Universtity,PreK-12; Higher Ed,LC - Online Course Providers & Technical Skills Development
85682,http://www.qualtrics.com,Qualtrics,Qualtrics,Higher Ed; Corporate,"SDO - Data, Analytics & Reporting"
10533,http://www.scholastic.com,Scholastic,Scholastic Inc,PreK-12,"LC - Sites, Resources & References - Learning Materials & Supplies"
88885,http://lumenlearning.com/,Lumen Learning,Lumen Learning,PreK-12; Higher Ed; Corporate,LC - Online Course Providers & Technical Skills Development
29286,http://socratic.org,Socratic,Vespr,PreK-12; Higher Ed,LC - Study Tools - Q&A
94058,https://www.coursehero.com/,Course Hero,Course Hero,PreK-12; Higher Ed,LC - Study Tools
78818,http://www.enotes.com/,eNotes,Enotes.com,PreK-12; Higher Ed,LC - Study Tools - Q&A
48625,http://www.culturegrams.com/,CultureGrams,ProQuest,PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Digital Collection & Repository"
22741,http://tes.com,TES, Tes Global Ltd ,PreK-12; Higher Ed,SDO - Human Resources
61945,https://zoom.us/,Zoom,"ZOOM VIDEO COMMUNICATIONS, INC.",PreK-12; Higher Ed; Corporate,CM - Virtual Classroom - Video Conferencing & Screen Sharing
91165,http://www.mobymax.com/,MobyMax,MobyMax,PreK-12,LC - Digital Learning Platforms
65797,https://chrome.google.com/webstore/detail/google-drawings/mkaakpdehdafacodkgkpghoibnmamcme?hl=en-US,Google Drawings,Google LLC,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation
76214,http://quizizz.com/,Quizizz,Quizizz,PreK-12; Higher Ed; Corporate,LC - Study Tools
64850,https://calendly.com/,Calendly,Calendly,PreK-12; Higher Ed; Corporate,CM - Classroom Engagement & Instruction - Classroom Management
76122,https://canva.com/,Canva,Canva,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation
19334,http://www.enchantedlearning.com/,Enchanted Learning,Enchanted Learning,PreK-12,"LC - Sites, Resources & Reference"
70740,https://screencast-o-matic.com/,Screencast-O-Matic,Screencast-O-Matic,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation
39004,http://www.tumblebooklibrary.com,TumbleBooks,TumbleBooks,PreK-12,"LC - Sites, Resources & Reference - Digital Collection & Repository"
72676,https://www.kamiapp.com/,Kami,Kami Limited,PreK-12,LC - Digital Learning Platforms
11585,https://www-k6.thinkcentral.com/ePC/start.do,Think Central,Houghton Mifflin Harcourt,PreK-12,LC - Digital Learning Platforms
74653,https://www.studiesweekly.com,Studies Weekly,Studies Weekly,PreK-12,LC - Courseware & Textbooks
28456,http://www.smartmusic.com,SmartMusic,"MakeMusic, Inc.",PreK-12; Higher Ed,LC - Study Tools
60051,https://www.bigideasmath.com,Big Ideas Math,Big Ideas Learning,PreK-12,LC - Courseware & Textbooks
46123,https://www.collegeboard.org/,College Board,The College Board,PreK-12,SDO - Large-Scale & Standardized Testing
24342,https://www.ebscohost.com/academic/ap-images-collection,AP Images Collection,"EBSCO Industries, Inc",PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Digital Collection & Repository"
89267,http://www.wiley.com,Wiley,John Wiley and Sons Inco,PreK-12; Higher Ed; Corporate,LC - Courseware & Textbooks
37891,http://www.classzone.com/cz/index.htm,ClassZone,Houghton Mifflin Harcourt,,
50168,http://www.hmhco.com,Houghton Mifflin Harcourt,Houghton Mifflin Harcourt,PreK-12; Higher Ed,LC - Courseware & Textbooks
89688,http://www.teachtci.com,Teach TCI,Teach TCI,PreK-12,LC - Courseware & Textbooks
97209,https://spark.adobe.com,Adobe Spark,Adobe Inc.,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation
79673,https://www.zendesk.com/,Zendesk,Zendesk,PreK-12; Higher Ed; Corporate,SDO - Human Resources
18982,https://www.gotomeeting.com/,GoToMeeting,LogMeIn,PreK-12; Higher Ed; Corporate,CM - Virtual Classroom - Video Conferencing & Screen Sharing
70167,https://www.microsoft.com/en-us/download/details.aspx?id=23714,Microsoft XNA Game Studio,Microsoft,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation
49521,http://www.hp.com/,HP,Hewlett-Packard,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other
21298,https://www.explorelearning.com/index.cfm?method=cCorp.dspAbout,ExploreLearning Gizmos,"ExploreLearning, LLC",PreK-12,LC - Digital Learning Platforms
24829,http://www.utahcompose.com/,Utah Compose,Measurement Incorporated ,PreK-12,LC - Study Tools
52196,https://jr.brainpop.com/,BrainPOP Jr.,BrainPOP LLC,PreK-12,LC - Digital Learning Platforms
45601,https://www.pearsonrealize.com/#/,Savvas Realize,Savvas Learning Company | Formerly Pearson K12 Learning,PreK-12,SDO - Learning Management Systems (LMS)
25267,http://www.discoveryeducation.com/what-we-offer/techbook-digital-textbooks/science/index.cfm,Discovery Education - Science TechBook,Discovery Education,PreK-12,LC - Digital Learning Platforms
38871,https://gsuite.google.com/,Google Workspace,Google LLC,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other
28324,http://www.curriculumassociates.com/products/ready-common-core-reading.aspx#.WFG2KfkrJEY,i-Ready Reading,Curriculum Associates,PreK-12,LC - Digital Learning Platforms
50129,https://www.curriculumassociates.com/products/i-ready,i-Ready Mathematics,Curriculum Associates,PreK-12,LC - Digital Learning Platforms
11069,http://www.mrdonn.org/index.html,Mr. Donn,mrdonn.org,PreK-12,"LC - Sites, Resources & Reference"
33946,http://www.jstor.org/,JSTOR,ITHAKA,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Digital Collection & Repository"
87342,http://www.litcharts.com/,LitCharts,LitCharts LLC,PreK-12; Higher Ed,LC - Study Tools
80560,https://www.nitrotype.com/,Nitro Type,Teaching.com,PreK-12,LC - Digital Learning Platforms
92844,https://www.typing.com/,Typing.com,Teaching.com,PreK-12; Higher Ed; Corporate,LC - Digital Learning Platforms
61517,http://www.hmhco.com/shop/education-curriculum/world-languages/spanish/avancemos,¡Avancemos!,Houghton Mifflin Harcourt,PreK-12,LC - Courseware & Textbooks
96706,http://www.cengage.com/s/mindtap-course-list,MindTap,Cengage Learning,PreK-12; Higher Ed,LC - Courseware & Textbooks
26533,https://www.screencastify.com/,Screencastify,"Screencastify, LLC",PreK-12,LC - Content Creation & Curation
68019,https://connected.mcgraw-hill.com/connected/login.do,ConnectED,McGraw-Hill PreK-12,PreK-12,LC - Digital Learning Platforms
28504,http://google.com/sheets/about/,Google Sheets,Google LLC,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other
