단지코드,총세대수,임대건물구분,지역,공급유형,전용면적,전용면적별세대수,공가수,자격유형,임대보증금,임대료,도보 10분거리 내 지하철역 수(환승노선 수 반영),도보 10분거리 내 버스정류장 수,단지내주차면수,등록차량수
C1898,566,아파트,전라북도,국민임대,36.55,230,9.0,A,12015000,102130,0.0,6.0,517.0,415.0
C1898,566,아파트,전라북도,국민임대,36.55,28,9.0,A,12015000,102130,0.0,6.0,517.0,415.0
C1898,566,아파트,전라북도,국민임대,36.62,13,9.0,A,12015000,102130,0.0,6.0,517.0,415.0
C1898,566,아파트,전라북도,국민임대,46.9,194,9.0,A,21628000,132160,0.0,6.0,517.0,415.0
C1898,566,아파트,전라북도,국민임대,46.9,15,9.0,A,21628000,132160,0.0,6.0,517.0,415.0
C1898,566,아파트,전라북도,국민임대,51.93,86,9.0,A,25233000,144180,0.0,6.0,517.0,415.0
C1244,1722,아파트,경기도,국민임대,39.62,275,10.0,A,29551000,203030,0.0,10.0,1483.0,1804.0
C1244,1722,아파트,경기도,국민임대,39.62,126,10.0,A,29551000,203030,0.0,10.0,1483.0,1804.0
C1244,1722,아파트,경기도,국민임대,39.62,168,10.0,A,29551000,203030,0.0,10.0,1483.0,1804.0
C1244,1722,아파트,경기도,국민임대,39.72,219,10.0,A,29551000,203030,0.0,10.0,1483.0,1804.0
C1244,1722,아파트,경기도,국민임대,46.73,98,10.0,A,43990000,304540,0.0,10.0,1483.0,1804.0
C1244,1722,아파트,경기도,국민임대,46.81,144,10.0,A,43990000,304540,0.0,10.0,1483.0,1804.0
C1244,1722,아파트,경기도,국민임대,46.81,76,10.0,A,43990000,304540,0.0,10.0,1483.0,1804.0
C1244,1722,아파트,경기도,국민임대,46.81,76,10.0,A,43990000,304540,0.0,10.0,1483.0,1804.0
C1244,1722,아파트,경기도,국민임대,46.95,75,10.0,A,43990000,304540,0.0,10.0,1483.0,1804.0
C1244,1722,아파트,경기도,국민임대,46.95,75,10.0,A,43990000,304540,0.0,10.0,1483.0,1804.0
C1244,1722,아파트,경기도,국민임대,51.78,232,10.0,A,49854000,338380,0.0,10.0,1483.0,1804.0
C1244,1722,아파트,경기도,국민임대,51.78,83,10.0,A,49854000,338380,0.0,10.0,1483.0,1804.0
C1244,1722,아파트,경기도,국민임대,51.95,75,10.0,A,49854000,338380,0.0,10.0,1483.0,1804.0
C1171,624,아파트,대전광역시,국민임대,33.38,190,13.0,A,17730000,118190,0.0,5.0,634.0,700.0
C1171,624,아파트,대전광역시,국민임대,39.46,106,13.0,A,23641000,141840,0.0,5.0,634.0,700.0
C1171,624,아파트,대전광역시,국민임대,39.46,43,13.0,A,23641000,141840,0.0,5.0,634.0,700.0
C1171,624,아파트,대전광역시,국민임대,39.46,15,13.0,A,23641000,141840,0.0,5.0,634.0,700.0
C1171,624,아파트,대전광역시,국민임대,46.66,38,13.0,A,35462000,189130,0.0,5.0,634.0,700.0
C1171,624,아파트,대전광역시,국민임대,46.66,15,13.0,A,35462000,189130,0.0,5.0,634.0,700.0
C1171,624,아파트,대전광역시,국민임대,46.87,46,13.0,A,35462000,189130,0.0,5.0,634.0,700.0
C1171,624,아파트,대전광역시,국민임대,46.87,23,13.0,A,35462000,189130,0.0,5.0,634.0,700.0
C1171,624,아파트,대전광역시,국민임대,46.88,78,13.0,A,35462000,189130,0.0,5.0,634.0,700.0
C1171,624,아파트,대전광역시,국민임대,46.88,30,13.0,A,35462000,189130,0.0,5.0,634.0,700.0
C1171,624,아파트,대전광역시,국민임대,51.96,20,13.0,A,41372000,236410,0.0,5.0,634.0,700.0
C1171,624,아파트,대전광역시,국민임대,51.96,20,13.0,A,41372000,236410,0.0,5.0,634.0,700.0
C2073,361,아파트,강원도,국민임대,39.63,94,13.0,A,10813000,144180,0.0,5.0,288.0,301.0
C2073,361,아파트,강원도,국민임대,39.63,74,13.0,A,10813000,144180,0.0,5.0,288.0,301.0
C2073,361,아파트,강원도,국민임대,46.9,97,13.0,A,16821000,205460,0.0,5.0,288.0,301.0
C2073,361,아파트,강원도,국민임대,46.9,46,13.0,A,16821000,205460,0.0,5.0,288.0,301.0
C2073,361,아파트,강원도,국민임대,46.96,10,13.0,A,16821000,205460,0.0,5.0,288.0,301.0
C2073,361,아파트,강원도,국민임대,59.89,40,13.0,A,25233000,283560,0.0,5.0,288.0,301.0
C2513,754,아파트,광주광역시,국민임대,51.88,517,15.0,A,32443000,192250,0.0,6.0,530.0,820.0
C2513,754,아파트,광주광역시,국민임대,51.88,179,15.0,A,32443000,192250,0.0,6.0,530.0,820.0
C2513,754,아파트,광주광역시,국민임대,51.93,58,15.0,A,32443000,192250,0.0,6.0,530.0,820.0
C1936,240,아파트,광주광역시,국민임대,51.88,120,8.0,A,32443000,192250,0.0,10.0,168.0,234.0
C1936,240,아파트,광주광역시,국민임대,51.88,60,8.0,A,32443000,192250,0.0,10.0,168.0,234.0
C1936,240,아파트,광주광역시,국민임대,51.88,20,8.0,A,32443000,192250,0.0,10.0,168.0,234.0
C1936,240,아파트,광주광역시,국민임대,51.93,40,8.0,A,32443000,192250,0.0,10.0,168.0,234.0
C2049,688,아파트,강원도,국민임대,51.49,178,0.0,A,15271000,78230,0.0,5.0,631.0,841.0
C2049,688,아파트,강원도,국민임대,51.95,360,0.0,A,15407000,88400,0.0,5.0,631.0,841.0
C2049,688,아파트,강원도,국민임대,59.64,150,0.0,A,17687000,100260,0.0,5.0,631.0,841.0
C2202,623,아파트,강원도,공공임대(50년),37.67,89,0.0,A,9714000,145940,0.0,2.0,222.0,226.0
C2202,623,아파트,강원도,공공임대(50년),42.9,354,0.0,A,10244000,152280,0.0,2.0,222.0,226.0
C2202,623,아파트,강원도,공공임대(50년),49.44,180,0.0,A,11807000,171230,0.0,2.0,222.0,226.0
C1925,601,아파트,강원도,영구임대,26.37,298,9.0,C,8052000,130850,0.0,4.0,117.0,75.0
C1925,601,아파트,강원도,영구임대,31.32,298,9.0,C,9174000,144460,0.0,4.0,117.0,75.0
C1925,601,상가,강원도,임대상가,32.1,1,9.0,D,,,0.0,4.0,117.0,75.0
C1925,601,상가,강원도,임대상가,32.1,1,9.0,D,,,0.0,4.0,117.0,75.0
C1925,601,상가,강원도,임대상가,32.1,1,9.0,D,,,0.0,4.0,117.0,75.0
C1925,601,상가,강원도,임대상가,72.16,1,9.0,D,,,0.0,4.0,117.0,75.0
C2576,405,아파트,경상남도,국민임대,46.9,313,19.0,A,19436000,161780,0.0,4.0,296.0,73.0
C2576,405,아파트,경상남도,국민임대,59.88,92,19.0,A,28252000,235420,0.0,4.0,296.0,73.0
C1312,518,아파트,충청남도,국민임대,39.72,60,12.0,A,17460000,122210,,3.0,527.0,359.0
C1312,518,아파트,충청남도,국민임대,39.98,89,12.0,A,17460000,122210,,3.0,527.0,359.0
C1312,518,아파트,충청남도,국민임대,41.55,225,12.0,A,19954000,130940,,3.0,527.0,359.0
C1312,518,아파트,충청남도,국민임대,46.9,143,12.0,A,28687000,149660,,3.0,527.0,359.0
C1874,619,아파트,충청남도,영구임대,26.37,294,2.0,C,3141000,69900,,2.0,97.0,62.0
C1874,619,아파트,충청남도,영구임대,26.37,149,2.0,C,3141000,69900,,2.0,97.0,62.0
C1874,619,아파트,충청남도,영구임대,31.32,149,2.0,C,3731000,83020,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,12.62,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,17.4,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,17.4,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,22.89,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,23.13,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,23.13,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,23.25,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,27.75,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,27.75,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,27.75,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,27.75,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,27.75,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,27.75,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,27.75,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,27.75,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,27.75,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,27.75,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,27.75,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,28.19,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,34.8,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,34.8,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,42.35,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,42.4,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,49.37,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,55.17,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,55.17,1,2.0,D,,,,2.0,97.0,62.0
C1874,619,상가,충청남도,임대상가,55.5,1,2.0,D,,,,2.0,97.0,62.0
C2650,875,아파트,부산광역시,국민임대,36.44,557,13.0,A,11492000,104930,0.0,4.0,616.0,159.0
C2650,875,아파트,부산광역시,국민임대,45.09,20,13.0,A,14215000,141630,0.0,4.0,616.0,159.0
C2650,875,아파트,부산광역시,국민임대,45.32,298,13.0,A,14292000,141630,0.0,4.0,616.0,159.0
C2416,560,아파트,경상남도,영구임대,26.34,360,0.0,C,3138000,69820,0.0,5.0,154.0,63.0
C2416,560,아파트,경상남도,영구임대,30.48,192,0.0,C,3631000,80800,0.0,5.0,154.0,63.0
C2416,560,상가,경상남도,임대상가,19.69,1,0.0,D,,,0.0,5.0,154.0,63.0
C2416,560,상가,경상남도,임대상가,27.12,1,0.0,D,,,0.0,5.0,154.0,63.0
C2416,560,상가,경상남도,임대상가,32.54,1,0.0,D,,,0.0,5.0,154.0,63.0
C2416,560,상가,경상남도,임대상가,36.43,1,0.0,D,,,0.0,5.0,154.0,63.0
C2416,560,상가,경상남도,임대상가,46.89,1,0.0,D,,,0.0,5.0,154.0,63.0
C2416,560,상가,경상남도,임대상가,49.99,1,0.0,D,,,0.0,5.0,154.0,63.0
C2416,560,상가,경상남도,임대상가,51.14,1,0.0,D,,,0.0,5.0,154.0,63.0
C2416,560,상가,경상남도,임대상가,317.17,1,0.0,D,,,0.0,5.0,154.0,63.0
C2013,595,아파트,경상남도,국민임대,36.02,90,3.0,A,13930000,37360,0.0,3.0,509.0,91.0
C2013,595,아파트,경상남도,국민임대,36.38,237,3.0,A,13930000,37360,0.0,3.0,509.0,91.0
C2013,595,아파트,경상남도,국민임대,45.88,267,3.0,A,17568000,45180,0.0,3.0,509.0,91.0
C1424,625,아파트,대전광역시,공공임대(50년),39.99,268,2.0,A,14247000,198980,,7.0,517.0,179.0
C1424,625,아파트,대전광역시,공공임대(50년),49.95,119,2.0,A,20173000,225100,,7.0,517.0,179.0
C1424,625,아파트,대전광역시,공공임대(50년),49.95,237,2.0,A,21203000,225100,,7.0,517.0,179.0
C2100,880,아파트,대전광역시,국민임대,51.51,46,4.0,A,22307000,89210,,5.0,736.0,671.0
C2100,880,아파트,대전광역시,국민임대,51.59,35,4.0,A,22307000,89210,,5.0,736.0,671.0
C2100,880,아파트,대전광역시,국민임대,51.9,589,4.0,A,22307000,89210,,5.0,736.0,671.0
C2100,880,아파트,대전광역시,국민임대,59.91,118,4.0,A,27885000,111520,,5.0,736.0,671.0
C2100,880,아파트,대전광역시,국민임대,59.94,46,4.0,A,27885000,111520,,5.0,736.0,671.0
C2100,880,아파트,대전광역시,국민임대,59.99,46,4.0,A,27885000,111520,,5.0,736.0,671.0
C2621,1396,아파트,대전광역시,영구임대,26.37,890,26.0,C,5787000,79980,1.0,4.0,277.0,133.0
C2621,1396,아파트,대전광역시,영구임대,26.37,141,26.0,C,5787000,79980,1.0,4.0,277.0,133.0
C2621,1396,아파트,대전광역시,영구임대,26.37,20,26.0,C,5787000,79980,1.0,4.0,277.0,133.0
C2621,1396,아파트,대전광역시,영구임대,26.37,20,26.0,C,5787000,79980,1.0,4.0,277.0,133.0
C2621,1396,아파트,대전광역시,영구임대,31.32,298,26.0,C,6873000,94990,1.0,4.0,277.0,133.0
C2621,1396,아파트,대전광역시,영구임대,52.74,9,26.0,C,11574000,159960,1.0,4.0,277.0,133.0
C2621,1396,아파트,대전광역시,영구임대,52.74,4,26.0,C,11574000,159960,1.0,4.0,277.0,133.0
C2621,1396,아파트,대전광역시,영구임대,52.74,4,26.0,C,11574000,159960,1.0,4.0,277.0,133.0
C2621,1396,상가,대전광역시,임대상가,31.84,1,26.0,D,,,1.0,4.0,277.0,133.0
C2621,1396,상가,대전광역시,임대상가,31.84,1,26.0,D,,,1.0,4.0,277.0,133.0
C2621,1396,상가,대전광역시,임대상가,31.84,1,26.0,D,,,1.0,4.0,277.0,133.0
C2621,1396,상가,대전광역시,임대상가,31.84,1,26.0,D,,,1.0,4.0,277.0,133.0
C2621,1396,상가,대전광역시,임대상가,31.84,1,26.0,D,,,1.0,4.0,277.0,133.0
C2621,1396,상가,대전광역시,임대상가,31.84,1,26.0,D,,,1.0,4.0,277.0,133.0
C2621,1396,상가,대전광역시,임대상가,31.84,1,26.0,D,,,1.0,4.0,277.0,133.0
C2621,1396,상가,대전광역시,임대상가,31.84,1,26.0,D,,,1.0,4.0,277.0,133.0
C2621,1396,상가,대전광역시,임대상가,63.68,1,26.0,D,,,1.0,4.0,277.0,133.0
C2621,1396,상가,대전광역시,임대상가,137.49,1,26.0,D,,,1.0,4.0,277.0,133.0
C2520,970,아파트,대전광역시,공공임대(50년),39.69,960,2.0,A,13155000,177500,,2.0,420.0,386.0
C2319,606,아파트,대전광역시,국민임대,51.86,98,1.0,A,17389000,236220,1.0,12.0,548.0,266.0
C2319,606,아파트,대전광역시,국민임대,51.91,83,1.0,A,17405000,236470,1.0,12.0,548.0,266.0
C2319,606,아파트,대전광역시,국민임대,51.96,157,1.0,A,17423000,236710,1.0,12.0,548.0,266.0
C2319,606,아파트,대전광역시,국민임대,59.57,267,1.0,A,19975000,273790,1.0,12.0,548.0,266.0
C1616,1507,아파트,대전광역시,영구임대,26.37,588,1.0,C,5787000,79980,,2.0,407.0,98.0
C1616,1507,아파트,대전광역시,영구임대,31.32,450,1.0,C,6873000,94990,,2.0,407.0,98.0
C1616,1507,아파트,대전광역시,영구임대,40.32,450,1.0,E,54040000,28140,,2.0,407.0,98.0
C1616,1507,상가,대전광역시,임대상가,38.0,1,1.0,D,,,,2.0,407.0,98.0
C1616,1507,상가,대전광역시,임대상가,38.0,1,1.0,D,,,,2.0,407.0,98.0
C1616,1507,상가,대전광역시,임대상가,37.26,1,1.0,D,,,,2.0,407.0,98.0
C1616,1507,상가,대전광역시,임대상가,37.41,1,1.0,D,,,,2.0,407.0,98.0
C1616,1507,상가,대전광역시,임대상가,37.41,1,1.0,D,,,,2.0,407.0,98.0
C1616,1507,상가,대전광역시,임대상가,37.41,1,1.0,D,,,,2.0,407.0,98.0
C1616,1507,상가,대전광역시,임대상가,37.49,1,1.0,D,,,,2.0,407.0,98.0
C1616,1507,상가,대전광역시,임대상가,37.95,1,1.0,D,,,,2.0,407.0,98.0
C1616,1507,상가,대전광역시,임대상가,37.95,1,1.0,D,,,,2.0,407.0,98.0
C1616,1507,상가,대전광역시,임대상가,38.04,1,1.0,D,,,,2.0,407.0,98.0
C1616,1507,상가,대전광역시,임대상가,39.33,1,1.0,D,,,,2.0,407.0,98.0
C1616,1507,상가,대전광역시,임대상가,39.33,1,1.0,D,,,,2.0,407.0,98.0
C1616,1507,상가,대전광역시,임대상가,39.33,1,1.0,D,,,,2.0,407.0,98.0
C1616,1507,상가,대전광역시,임대상가,54.51,1,1.0,D,,,,2.0,407.0,98.0
C1616,1507,상가,대전광역시,임대상가,54.61,1,1.0,D,,,,2.0,407.0,98.0
C1616,1507,상가,대전광역시,임대상가,54.91,1,1.0,D,,,,2.0,407.0,98.0
C1616,1507,상가,대전광역시,임대상가,75.98,1,1.0,D,,,,2.0,407.0,98.0
C1616,1507,상가,대전광역시,임대상가,109.11,1,1.0,D,,,,2.0,407.0,98.0
C1616,1507,상가,대전광역시,임대상가,583.4,1,1.0,D,,,,2.0,407.0,98.0
C1704,639,아파트,대전광역시,영구임대,39.3,204,34.0,C,8625000,119190,,7.0,162.0,131.0
C1704,639,아파트,대전광역시,영구임대,39.69,420,34.0,C,8710000,120370,,7.0,162.0,131.0
C1704,639,상가,대전광역시,임대상가,31.84,1,34.0,D,,,,7.0,162.0,131.0
C1704,639,상가,대전광역시,임대상가,31.84,1,34.0,D,,,,7.0,162.0,131.0
C1704,639,상가,대전광역시,임대상가,31.84,1,34.0,D,,,,7.0,162.0,131.0
C1704,639,상가,대전광역시,임대상가,31.84,1,34.0,D,,,,7.0,162.0,131.0
C1704,639,상가,대전광역시,임대상가,31.84,1,34.0,D,,,,7.0,162.0,131.0
C1704,639,상가,대전광역시,임대상가,31.84,1,34.0,D,,,,7.0,162.0,131.0
C1704,639,상가,대전광역시,임대상가,31.84,1,34.0,D,,,,7.0,162.0,131.0
C1704,639,상가,대전광역시,임대상가,31.84,1,34.0,D,,,,7.0,162.0,131.0
C1704,639,상가,대전광역시,임대상가,31.84,1,34.0,D,,,,7.0,162.0,131.0
C1704,639,상가,대전광역시,임대상가,31.84,1,34.0,D,,,,7.0,162.0,131.0
C1704,639,상가,대전광역시,임대상가,31.84,1,34.0,D,,,,7.0,162.0,131.0
C1704,639,상가,대전광역시,임대상가,31.84,1,34.0,D,,,,7.0,162.0,131.0
C1704,639,상가,대전광역시,임대상가,31.84,1,34.0,D,,,,7.0,162.0,131.0
C1704,639,상가,대전광역시,임대상가,31.84,1,34.0,D,,,,7.0,162.0,131.0
C1704,639,상가,대전광역시,임대상가,126.65,1,34.0,D,,,,7.0,162.0,131.0
C2258,965,아파트,대전광역시,영구임대,26.37,588,13.0,C,5787000,79980,,3.0,287.0,78.0
C2258,965,아파트,대전광역시,영구임대,31.32,180,13.0,C,6873000,94990,,3.0,287.0,78.0
C2258,965,아파트,대전광역시,영구임대,40.32,180,13.0,C,8848000,122290,,3.0,287.0,78.0
C2258,965,상가,대전광역시,임대상가,19.0,1,13.0,D,,,,3.0,287.0,78.0
C2258,965,상가,대전광역시,임대상가,14.1,1,13.0,D,,,,3.0,287.0,78.0
C2258,965,상가,대전광역시,임대상가,19.31,1,13.0,D,,,,3.0,287.0,78.0
C2258,965,상가,대전광역시,임대상가,21.19,1,13.0,D,,,,3.0,287.0,78.0
C2258,965,상가,대전광역시,임대상가,21.19,1,13.0,D,,,,3.0,287.0,78.0
C2258,965,상가,대전광역시,임대상가,22.95,1,13.0,D,,,,3.0,287.0,78.0
C2258,965,상가,대전광역시,임대상가,23.4,1,13.0,D,,,,3.0,287.0,78.0
C2258,965,상가,대전광역시,임대상가,23.4,1,13.0,D,,,,3.0,287.0,78.0
C2258,965,상가,대전광역시,임대상가,23.4,1,13.0,D,,,,3.0,287.0,78.0
C2258,965,상가,대전광역시,임대상가,23.4,1,13.0,D,,,,3.0,287.0,78.0
C2258,965,상가,대전광역시,임대상가,27.23,1,13.0,D,,,,3.0,287.0,78.0
C2258,965,상가,대전광역시,임대상가,31.85,1,13.0,D,,,,3.0,287.0,78.0
C2258,965,상가,대전광역시,임대상가,32.29,1,13.0,D,,,,3.0,287.0,78.0
C2258,965,상가,대전광역시,임대상가,35.13,1,13.0,D,,,,3.0,287.0,78.0
C2258,965,상가,대전광역시,임대상가,36.47,1,13.0,D,,,,3.0,287.0,78.0
C2258,965,상가,대전광역시,임대상가,50.08,1,13.0,D,,,,3.0,287.0,78.0
C2258,965,상가,대전광역시,임대상가,240.22,1,13.0,D,,,,3.0,287.0,78.0
C1032,946,아파트,대전광역시,국민임대,39.65,68,6.0,A,16852000,118580,1.0,2.0,986.0,316.0
C1032,946,아파트,대전광역시,국민임대,46.47,69,6.0,A,22471000,149810,1.0,2.0,986.0,316.0
C1032,946,아파트,대전광역시,국민임대,51.84,63,6.0,A,28714000,187260,1.0,2.0,986.0,316.0
C1032,946,아파트,대전광역시,국민임대,51.92,251,6.0,A,28714000,187260,1.0,2.0,986.0,316.0
C1032,946,아파트,대전광역시,국민임대,59.99,171,6.0,A,34956000,230950,1.0,2.0,986.0,316.0
C1032,946,아파트,대전광역시,국민임대,59.99,324,6.0,A,34956000,230950,1.0,2.0,986.0,316.0
C2038,785,아파트,대전광역시,영구임대,26.37,588,7.0,C,5787000,79980,1.0,10.0,150.0,108.0
C2038,785,아파트,대전광역시,영구임대,31.32,90,7.0,C,6873000,94990,1.0,10.0,150.0,108.0
C2038,785,아파트,대전광역시,영구임대,40.32,90,7.0,C,8848000,122290,1.0,10.0,150.0,108.0
C2038,785,상가,대전광역시,임대상가,19.0,1,7.0,D,,,1.0,10.0,150.0,108.0
C2038,785,상가,대전광역시,임대상가,14.1,1,7.0,D,,,1.0,10.0,150.0,108.0
C2038,785,상가,대전광역시,임대상가,19.31,1,7.0,D,,,1.0,10.0,150.0,108.0
C2038,785,상가,대전광역시,임대상가,21.19,1,7.0,D,,,1.0,10.0,150.0,108.0
C2038,785,상가,대전광역시,임대상가,21.19,1,7.0,D,,,1.0,10.0,150.0,108.0
C2038,785,상가,대전광역시,임대상가,22.95,1,7.0,D,,,1.0,10.0,150.0,108.0
C2038,785,상가,대전광역시,임대상가,23.4,1,7.0,D,,,1.0,10.0,150.0,108.0
C2038,785,상가,대전광역시,임대상가,23.4,1,7.0,D,,,1.0,10.0,150.0,108.0
C2038,785,상가,대전광역시,임대상가,23.4,1,7.0,D,,,1.0,10.0,150.0,108.0
C2038,785,상가,대전광역시,임대상가,23.4,1,7.0,D,,,1.0,10.0,150.0,108.0
C2038,785,상가,대전광역시,임대상가,27.23,1,7.0,D,,,1.0,10.0,150.0,108.0
C2038,785,상가,대전광역시,임대상가,31.85,1,7.0,D,,,1.0,10.0,150.0,108.0
C2038,785,상가,대전광역시,임대상가,32.29,1,7.0,D,,,1.0,10.0,150.0,108.0
C2038,785,상가,대전광역시,임대상가,35.13,1,7.0,D,,,1.0,10.0,150.0,108.0
C2038,785,상가,대전광역시,임대상가,36.47,1,7.0,D,,,1.0,10.0,150.0,108.0
C2038,785,상가,대전광역시,임대상가,50.08,1,7.0,D,,,1.0,10.0,150.0,108.0
C2038,785,상가,대전광역시,임대상가,240.22,1,7.0,D,,,1.0,10.0,150.0,108.0
C1859,2424,아파트,대전광역시,영구임대,26.37,1865,1.0,C,5787000,79980,1.0,4.0,487.0,116.0
C1859,2424,아파트,대전광역시,영구임대,26.37,10,1.0,C,5787000,79980,1.0,4.0,487.0,116.0
